(Index),idx,text,startSec,endSec,durationSec,gapToPrevSec,nearestSilenceEndSec,smearSec
0,0,Some,0.16,0.28,0.12,,,
1,1,places,0.28,0.71,0.43,0,,
2,2,in,0.71,0.85,0.14,0,,
3,3,the,0.85,1.08,0.23,0,,
4,4,41,1.08,1.49,0.41,0,,
5,5,st,1.49,1.7,0.21,0,,
6,6,millenn,1.7,2.13,0.43,0,,
7,7,ium,2.13,2.38,0.25,0,,
8,8,don,2.38,2.63,0.25,0,,
9,9,t,2.63,2.66,0.03,0,,
10,10,just,2.66,2.89,0.23,0,,
11,11,kill,2.89,3.23,0.34,0,,
12,12,soldiers,3.23,3.58,0.35,0,,
13,13,They,4.36,4.44,0.08,0.78,4.36,0
14,14,take,4.44,4.52,0.08,0,4.36,0.08
15,15,apart,4.52,4.9,0.38,0,4.36,0.16
16,16,the,4.9,5.1,0.2,0,4.36,0.54
17,17,conditions,5.1,6.06,0.96,0,4.36,0.74
18,18,under,6.06,6.29,0.23,0,4.36,1.7
19,19,which,6.29,6.58,0.29,0,4.36,1.93
20,20,a,6.58,6.64,0.06,0,4.36,2.22
21,21,soldier,6.64,7.1,0.46,0,4.36,2.28
22,22,can,7.1,7.29,0.19,0,4.36,2.74
23,23,function,7.29,7.82,0.53,0,4.36,2.93
24,24,in,7.82,7.93,0.11,0,4.36,3.46
25,25,the,7.93,8.1,0.17,0,4.36,3.57
26,26,first,8.1,8.66,0.56,0,4.36,3.74
27,27,place,8.66,8.73,0.07,0,4.36,4.3
28,28,Training,9.36,9.52,0.16,0.63,9.36,0
29,29,equipment,9.59,10.25,0.66,0.07,9.36,0.23
30,30,formation,10.44,11.06,0.62,0.19,9.36,1.08
31,31,doctrine,11.19,11.78,0.59,0.13,11.5,-0.31
32,32,gone,11.99,12.24,0.25,0.21,12.54,-0.55
33,33,before,12.24,12.59,0.35,0,12.54,-0.3
34,34,the,12.59,12.78,0.19,0,12.54,0.05
35,35,first,12.78,13.1,0.32,0,12.54,0.24
36,36,contact,13.1,13.73,0.63,0,12.54,0.56
37,37,report,13.73,13.96,0.23,0,12.54,1.19
38,38,These,14.64,14.72,0.08,0.68,14.66,-0.02
39,39,aren,14.72,14.8,0.08,0,14.66,0.06
40,40,t,14.8,14.84,0.04,0,14.66,0.14
41,41,the,14.84,15.03,0.19,0,14.66,0.18
42,42,worst,15.03,15.33,0.3,0,14.66,0.37
43,43,battlefield,15.33,16.04,0.71,0,14.66,0.67
44,44,s,16.04,16.1,0.06,0,14.66,1.38
45,45,because,16.1,16.57,0.47,0,16.64,-0.54
46,46,of,16.57,16.66,0.09,0,16.64,-0.07
47,47,the,16.66,16.85,0.19,0,16.64,0.02
48,48,numbers,16.85,17.29,0.44,0,16.64,0.21
49,49,re,18.1,18.21,0.11,0.81,18.08,0.02
50,50,the,18.21,18.26,0.05,0,18.08,0.13
51,51,worst,18.26,18.64,0.38,0,18.7,-0.44
52,52,because,18.64,19.02,0.38,0,18.7,-0.06
53,53,the,19.02,19.22,0.2,0,18.7,0.32
54,54,environment,19.22,20.03,0.81,0,18.7,0.52
55,55,was,20.03,20.17,0.14,0,18.7,1.33
56,56,already,20.17,20.73,0.56,0,18.7,1.47
57,57,doing,20.73,20.98,0.25,0,18.7,2.03
58,58,the,20.98,21.33,0.35,0,18.7,2.28
59,59,killing,21.33,21.72,0.39,0,18.7,2.63
60,60,before,21.72,22.04,0.32,0,18.7,3.02
61,61,the,22.04,22.47,0.43,0,18.7,3.34
62,62,enemy,22.47,22.49,0.02,0,18.7,3.77
63,63,showed,22.49,22.78,0.29,0,18.7,3.79
64,64,up,22.78,22.93,0.15,0,18.7,4.08
65,65,6,23.42,23.59,0.17,0.49,23.38,0.04
66,66,Cat,24.04,24.32,0.28,0.45,23.38,0.66
67,67,ac,24.32,24.49,0.17,0,23.38,0.94
68,68,an,24.49,24.7,0.21,0,23.38,1.11
69,69,Before,24.7,25.24,0.54,0,25.14,-0.44
70,70,Cat,25.24,25.37,0.13,0,25.14,0.1
71,71,ac,25.37,25.52,0.15,0,25.14,0.23
72,72,an,25.52,25.67,0.15,0,25.14,0.38
73,73,produced,25.67,26.27,0.6,0,25.14,0.53
74,74,the,26.27,26.49,0.22,0,25.14,1.13
75,75,Imper,26.49,26.86,0.37,0,25.14,1.35
76,76,ium,26.86,27.08,0.22,0,25.14,1.72
77,77,s,27.08,27.33,0.25,0,25.14,1.94
78,78,most,27.33,27.58,0.25,0,25.14,2.19
79,79,capable,27.58,28.05,0.47,0,25.14,2.44
80,80,baseline,28.05,28.64,0.59,0,25.14,2.91
81,81,human,28.64,29.09,0.45,0,25.14,3.5
82,82,soldiers,29.09,29.66,0.57,0,25.14,3.95
83,83,the,30.16,30.2,0.04,0.5,30.34,-0.18
84,84,planet,30.2,30.6,0.4,0,30.34,-0.14
85,85,had,30.6,30.8,0.2,0,30.34,0.26
86,86,a,30.8,30.86,0.06,0,30.34,0.46
87,87,simpler,30.86,31.37,0.51,0,30.34,0.52
88,88,reputation,31.37,32,0.63,0,30.34,1.03
89,89,It,32.88,32.94,0.06,0.88,32.88,0
90,90,killed,32.94,33.04,0.1,0,32.88,0.06
91,91,everything,33.04,33.82,0.78,0,32.88,0.16
92,92,on,33.82,33.99,0.17,0,32.88,0.94
93,93,it,33.99,34.25,0.26,0,32.88,1.11
94,94,The,34.8,34.96,0.16,0.55,34.82,-0.02
95,95,jungle,34.96,35.06,0.1,0,34.82,0.14
96,96,didn,35.06,35.34,0.28,0,34.82,0.24
97,97,t,35.34,35.46,0.12,0,35.62,-0.28
98,98,evolve,35.46,35.88,0.42,0,35.62,-0.16
99,99,around,35.88,36.26,0.38,0,35.62,0.26
100,100,human,36.26,36.59,0.33,0,35.62,0.64
101,101,warfare,36.59,37.06,0.47,0,35.62,0.97
102,102,spent,37.94,38.1,0.16,0.88,37.94,0
103,103,millions,38.1,38.61,0.51,0,38.64,-0.54
104,104,of,38.61,38.78,0.17,0,38.64,-0.03
105,105,years,38.78,39.31,0.53,0,38.64,0.14
106,106,optimizing,39.31,40.09,0.78,0,40.08,-0.77
107,107,toward,40.09,40.61,0.52,0,40.08,0.01
108,108,a,40.61,40.69,0.08,0,40.08,0.53
109,109,single,40.69,41.21,0.52,0,40.08,0.61
110,110,outcome,41.21,41.88,0.67,0,40.08,1.13
111,111,and,42.2,42.36,0.16,0.32,42.48,-0.28
112,112,anything,42.36,42.58,0.22,0,42.48,-0.12
113,113,with,42.58,42.83,0.25,0,42.48,0.1
114,114,a,42.83,42.89,0.06,0,42.48,0.35
115,115,nervous,42.89,43.33,0.44,0,42.48,0.41
116,116,system,43.33,43.71,0.38,0,42.48,0.85
117,117,is,43.71,43.9,0.19,0,42.48,1.23
118,118,on,43.9,43.95,0.05,0,42.48,1.42
119,119,the,43.95,44.14,0.19,0,42.48,1.47
120,120,wrong,44.14,44.46,0.32,0,42.48,1.66
121,121,side,44.46,44.83,0.37,0,42.48,1.98
122,122,that,44.83,45.08,0.25,0,42.48,2.35
123,123,outcome,45.08,45.52,0.44,0,42.48,2.6
124,124,Hum,46.26,46.41,0.15,0.74,46.28,-0.02
125,125,idity,46.41,46.44,0.03,0,46.28,0.13
126,126,wre,46.44,46.68,0.24,0,46.28,0.16
127,127,cks,46.68,46.92,0.24,0,46.28,0.4
128,128,un,46.92,47.08,0.16,0,46.28,0.64
129,129,prot,47.08,47.4,0.32,0,46.28,0.8
130,130,ected,47.4,47.8,0.4,0,46.28,1.12
131,131,electronics,47.8,48.68,0.88,0,46.28,1.52
132,132,inside,48.68,49.17,0.49,0,46.28,2.4
133,133,a,49.17,49.25,0.08,0,46.28,2.89
134,134,few,49.25,49.49,0.24,0,46.28,2.97
135,135,hours,49.49,49.89,0.4,0,46.28,3.21
136,136,Lost,50.66,50.82,0.16,0.77,50.62,0.04
137,137,charge,50.82,50.9,0.08,0,50.62,0.2
138,138,packs,50.9,51.26,0.36,0,50.62,0.28
139,139,corro,51.26,51.61,0.35,0,50.62,0.64
140,140,de,51.61,51.76,0.15,0,50.62,0.99
141,141,Opt,52,52.2,0.2,0.24,52.38,-0.38
142,142,ical,52.2,52.54,0.34,0,52.38,-0.18
143,143,sc,52.54,52.6,0.06,0,52.38,0.16
144,144,opes,52.6,52.87,0.27,0,52.38,0.22
145,145,fog,52.87,53.08,0.21,0,52.38,0.49
146,146,permanently,53.08,53.81,0.73,0,52.38,0.7
147,147,The,54.56,54.72,0.16,0.75,54.52,0.04
148,148,canopy,54.72,54.8,0.08,0,54.52,0.2
149,149,generates,54.8,55.56,0.76,0,54.52,0.28
150,150,a,55.56,55.64,0.08,0,54.52,1.04
151,151,biological,55.64,56.49,0.85,0,54.52,1.12
152,152,electrical,56.49,57.34,0.85,0,54.52,1.97
153,153,field,57.34,57.79,0.45,0,54.52,2.82
154,154,that,57.79,58.1,0.31,0,54.52,3.27
155,155,j,58.1,58.18,0.08,0,54.52,3.58
156,156,ams,58.18,58.43,0.25,0,54.52,3.66
157,157,vo,58.43,58.68,0.25,0,54.52,3.91
