(Index),idx,text,startSec,endSec,durationSec,gapToPrevSec,nearestSilenceEndSec,smearSec
0,0,Some,0.16,0.3,0.14,,,
1,1,places,0.3,0.75,0.45,0,,
2,2,in,0.75,0.9,0.15,0,,
3,3,the,0.9,1.12,0.22,0,,
4,4,41,1.12,1.57,0.45,0,,
5,5,st,1.57,1.72,0.15,0,,
6,6,millennium,1.72,2.63,0.91,0,,
7,7,don,2.63,2.73,0.1,0,,
8,8,t,2.73,2.88,0.15,0,,
9,9,just,2.88,3.23,0.35,0,,
10,10,kill,3.23,3.43,0.2,0,,
11,11,soldiers,3.43,4.24,0.81,0,4.36,-0.93
12,12,they,4.24,4.5,0.26,0,4.36,-0.12
13,13,take,4.5,4.78,0.28,0,4.36,0.14
14,14,apart,4.78,5.09,0.31,0,4.36,0.42
15,15,the,5.09,5.32,0.23,0,4.36,0.73
16,16,conditions,5.32,5.95,0.63,0,4.36,0.96
17,17,under,5.95,6.28,0.33,0,4.36,1.59
18,18,which,6.28,6.61,0.33,0,4.36,1.92
19,19,a,6.61,6.67,0.06,0,4.36,2.25
20,20,soldier,6.67,7.13,0.46,0,4.36,2.31
21,21,can,7.13,7.47,0.34,0,4.36,2.77
22,22,function,7.47,7.93,0.46,0,4.36,3.11
23,23,in,7.93,8.09,0.16,0,4.36,3.57
24,24,the,8.09,8.6,0.51,0,4.36,3.73
25,25,first,8.6,8.84,0.24,0,4.36,4.24
26,26,place,8.84,9.2,0.36,0,9.36,-0.52
27,27,Training,9.2,9.84,0.64,0,9.36,-0.16
28,28,equipment,9.97,10.71,0.74,0.13,9.36,0.61
29,29,formation,10.9,11.58,0.68,0.19,11.5,-0.6
30,30,doctrine,11.83,12.43,0.6,0.25,12.54,-0.71
31,31,gone,12.43,12.66,0.23,0,12.54,-0.11
32,32,before,12.66,13.06,0.4,0,12.54,0.12
33,33,the,13.06,13.56,0.5,0,12.54,0.52
34,34,first,13.56,13.59,0.03,0,12.54,1.02
35,35,contact,13.59,14.05,0.46,0,12.54,1.05
36,36,report,14.05,14.48,0.43,0,14.66,-0.61
37,37,These,14.48,14.8,0.32,0,14.66,-0.18
38,38,aren,14.8,15.05,0.25,0,14.66,0.14
39,39,t,15.05,15.17,0.12,0,14.66,0.39
40,40,the,15.17,15.36,0.19,0,14.66,0.51
41,41,worst,15.36,15.68,0.32,0,14.66,0.7
42,42,battlefield,15.68,16.41,0.73,0,16.64,-0.96
43,43,s,16.41,16.45,0.04,0,16.64,-0.23
44,44,because,16.45,16.9,0.45,0,16.64,-0.19
45,45,of,16.9,17.11,0.21,0,16.64,0.26
46,46,the,17.11,17.22,0.11,0,16.64,0.47
47,47,numbers,17.22,17.71,0.49,0,18.08,-0.86
48,48,They,17.92,18.17,0.25,0.21,18.08,-0.16
49,49,re,18.17,18.46,0.29,0,18.7,-0.53
50,50,the,18.46,18.55,0.09,0,18.7,-0.24
51,51,worst,18.55,18.87,0.32,0,18.7,-0.15
52,52,because,18.87,19.32,0.45,0,18.7,0.17
53,53,the,19.32,19.62,0.3,0,18.7,0.62
54,54,environment,19.62,20.24,0.62,0,18.7,0.92
55,55,was,20.24,20.56,0.32,0,18.7,1.54
56,56,already,20.56,20.96,0.4,0,18.7,1.86
57,57,doing,20.96,21.2,0.24,0,18.7,2.26
58,58,the,21.2,21.36,0.16,0,18.7,2.5
59,59,killing,21.36,21.75,0.39,0,18.7,2.66
60,60,before,21.75,22.16,0.41,0,18.7,3.05
61,61,the,22.16,22.3,0.14,0,18.7,3.46
62,62,enemy,22.3,22.52,0.22,0,18.7,3.6
63,63,showed,22.52,22.94,0.42,0,18.7,3.82
64,64,up,22.94,23.06,0.12,0,23.38,-0.44
65,65,Number,23.28,23.82,0.54,0.22,23.38,-0.1
66,66,6,23.82,24.06,0.24,0,23.38,0.44
67,67,C,24.24,24.36,0.12,0.18,23.38,0.86
68,68,atech,24.36,24.76,0.4,0,25.14,-0.78
69,69,an,24.76,24.98,0.22,0,25.14,-0.38
70,70,Before,25.21,25.63,0.42,0.23,25.14,0.07
71,71,C,25.63,25.7,0.07,0,25.14,0.49
72,72,atech,25.7,26.07,0.37,0,25.14,0.56
73,73,an,26.07,26.24,0.17,0,25.14,0.93
74,74,produced,26.24,26.72,0.48,0,25.14,1.1
75,75,the,26.72,26.9,0.18,0,25.14,1.58
76,76,Imperium,26.9,27.52,0.62,0,25.14,1.76
77,77,s,27.52,27.65,0.13,0,25.14,2.38
