(Index),idx,text,startSec,endSec,durationSec,gapToPrevSec,nearestSilenceEndSec,smearSec
0,0,Level,0.08,0.29,0.21,,,
1,1,one,0.29,0.46,0.17,0,,
2,2,The,0.55,0.66,0.11,0.09,1.42,-0.87
3,3,child,0.66,1.4,0.74,0,1.42,-0.76
4,4,who,1.4,1.44,0.04,0,1.42,-0.02
5,5,does,1.44,1.73,0.29,0,1.42,0.02
6,6,not,1.73,1.95,0.22,0,1.42,0.31
7,7,yet,1.95,2.17,0.22,0,1.42,0.53
8,8,know,2.17,2.46,0.29,0,1.42,0.75
9,9,what,2.46,2.75,0.29,0,1.42,1.04
10,10,dark,2.75,3.04,0.29,0,1.42,1.33
11,11,means,3.04,3.4,0.36,0,1.42,1.62
12,12,you,3.57,3.73,0.16,0.17,4.16,-0.59
13,13,are,3.73,4.15,0.42,0,4.16,-0.43
14,14,seven,4.15,4.43,0.28,0,4.16,-0.01
15,15,years,4.43,4.82,0.39,0,4.16,0.27
16,16,old,4.82,5.05,0.23,0,4.16,0.66
17,17,You,5.29,5.96,0.67,0.24,5.96,-0.67
18,18,live,5.96,6.32,0.36,0,5.96,0
19,19,inside,6.32,6.72,0.4,0,5.96,0.36
20,20,a,6.72,6.78,0.06,0,5.96,0.76
21,21,skin,6.78,7.04,0.26,0,5.96,0.82
22,22,cover,7.04,7.43,0.39,0,5.96,1.08
23,23,ed,7.43,7.74,0.31,0,5.96,1.47
24,24,shelter,7.74,8.03,0.29,0,5.96,1.78
25,25,at,8.03,8.16,0.13,0,5.96,2.07
26,26,the,8.16,8.36,0.2,0,5.96,2.2
27,27,edge,8.36,8.62,0.26,0,5.96,2.4
28,28,of,8.62,8.75,0.13,0,5.96,2.66
29,29,a,8.75,8.81,0.06,0,5.96,2.79
30,30,shallow,8.81,9.36,0.55,0,5.96,2.85
31,31,valley,9.36,9.68,0.32,0,10.24,-0.88
32,32,The,9.88,10.05,0.17,0.2,10.24,-0.36
33,33,fire,10.05,10.47,0.42,0,10.24,-0.19
34,34,your,10.47,10.6,0.13,0,10.24,0.23
35,35,mother,10.6,11.1,0.5,0,10.24,0.36
36,36,tends,11.1,11.49,0.39,0,10.24,0.86
37,37,smells,11.49,11.94,0.45,0,10.24,1.25
38,38,like,11.94,12.22,0.28,0,10.24,1.7
39,39,pine,12.22,12.48,0.26,0,10.24,1.98
40,40,resin,12.48,12.58,0.1,0,10.24,2.24
41,41,and,12.58,13.34,0.76,0,10.24,2.34
42,42,scor,13.34,13.36,0.02,0,10.24,3.1
43,43,ched,13.36,13.62,0.26,0,10.24,3.12
44,44,bone,13.62,13.9,0.28,0,10.24,3.38
45,45,Your,14.11,14.39,0.28,0.21,14.78,-0.67
46,46,grandmother,14.39,15.24,0.85,0,14.78,-0.39
47,47,is,15.24,15.31,0.07,0,14.78,0.46
48,48,asleep,15.31,16.09,0.78,0,14.78,0.53
49,49,against,16.09,16.22,0.13,0,14.78,1.31
50,50,the,16.22,16.51,0.29,0,14.78,1.44
51,51,far,16.51,16.64,0.13,0,14.78,1.73
52,52,wall,16.64,16.91,0.27,0,14.78,1.86
53,53,It,17.18,17.9,0.72,0.27,17.88,-0.7
54,54,is,17.9,18.2,0.3,0,17.88,0.02
55,55,deep,18.2,18.47,0.27,0,17.88,0.32
56,56,in,18.47,18.62,0.15,0,17.88,0.59
57,57,the,18.62,18.72,0.1,0,17.88,0.74
58,58,night,18.72,19.14,0.42,0,19.8,-1.08
59,59,You,19.38,19.44,0.06,0.24,19.8,-0.42
60,60,are,19.44,20.12,0.68,0,19.8,-0.36
61,61,wide,20.12,20.25,0.13,0,19.8,0.32
62,62,awake,20.25,20.67,0.42,0,19.8,0.45
63,63,You,20.89,21.14,0.25,0.22,21.88,-0.99
64,64,can,21.14,21.39,0.25,0,21.88,-0.74
65,65,hear,21.39,21.76,0.37,0,21.88,-0.49
66,66,something,21.76,22.87,1.11,0,21.88,-0.12
67,67,outside,22.87,23.07,0.2,0,21.88,0.99
68,68,You,23.32,23.57,0.25,0.25,23.8,-0.48
69,69,do,23.57,23.72,0.15,0,23.8,-0.23
70,70,not,23.72,23.96,0.24,0,23.8,-0.08
71,71,know,23.96,24.64,0.68,0,23.8,0.16
72,72,what,24.64,24.68,0.04,0,23.8,0.84
73,73,it,24.68,24.8,0.12,0,23.8,0.88
74,74,is,24.8,24.96,0.16,0,25.5,-0.7
75,75,You,25.25,25.46,0.21,0.29,25.5,-0.25
76,76,only,25.46,25.92,0.46,0,25.5,-0.04
77,77,know,25.92,26.12,0.2,0,25.5,0.42
78,78,the,26.2,26.33,0.13,0.08,25.5,0.7
79,79,sound,26.33,26.71,0.38,0,25.5,0.83
80,80,is,26.71,26.86,0.15,0,25.5,1.21
81,81,large,26.86,27.25,0.39,0,27.74,-0.88
82,82,it,27.52,27.55,0.03,0.27,27.74,-0.22
83,83,is,27.55,27.7,0.15,0,27.74,-0.19
84,84,close,27.7,28.08,0.38,0,27.74,-0.04
85,85,and,28.23,28.45,0.22,0.15,27.74,0.49
86,86,the,28.45,28.67,0.22,0,29.2,-0.75
87,87,fire,28.67,28.97,0.3,0,29.2,-0.53
88,88,is,28.97,29.16,0.19,0,29.2,-0.23
89,89,the,29.16,29.42,0.26,0,29.2,-0.04
90,90,only,29.42,29.64,0.22,0,29.2,0.22
91,91,reason,29.64,30.27,0.63,0,29.2,0.44
92,92,you,30.27,30.31,0.04,0,29.2,1.07
93,93,are,30.31,30.53,0.22,0,29.2,1.11
94,94,not,30.53,30.75,0.22,0,29.2,1.33
95,95,screaming,30.75,31.42,0.67,0,29.2,1.55
96,96,The,32.08,32.3,0.22,0.66,32.74,-0.66
97,97,sound,32.3,33.18,0.88,0,32.74,-0.44
98,98,stops,33.18,33.64,0.46,0,32.74,0.44
99,99,The,33.9,34.58,0.68,0.26,34.82,-0.92
100,100,night,34.58,34.71,0.13,0,34.82,-0.24
101,101,goes,34.71,35.02,0.31,0,34.82,-0.11
102,102,quiet,35.02,35.48,0.46,0,34.82,0.2
103,103,Your,35.75,36.22,0.47,0.27,36.76,-1.01
104,104,chest,36.22,36.58,0.36,0,36.76,-0.54
105,105,is,36.58,36.75,0.17,0,36.76,-0.18
106,106,tight,36.75,37.33,0.58,0,36.76,-0.01
107,107,in,37.33,37.4,0.07,0,36.76,0.57
108,108,a,37.4,37.49,0.09,0,36.76,0.64
109,109,way,37.49,37.77,0.28,0,36.76,0.73
110,110,you,37.77,38.05,0.28,0,36.76,1.01
111,111,have,38.05,38.42,0.37,0,36.76,1.29
112,112,no,38.42,38.6,0.18,0,36.76,1.66
113,113,word,38.6,39.14,0.54,0,36.76,1.84
114,114,for,39.14,39.25,0.11,0,40.34,-1.2
115,115,Your,39.52,39.89,0.37,0.27,40.34,-0.82
116,116,mother,39.89,40.45,0.56,0,40.34,-0.45
117,117,does,40.45,40.93,0.48,0,40.34,0.11
118,118,not,40.93,41.14,0.21,0,40.34,0.59
119,119,look,41.14,41.45,0.31,0,40.34,0.8
120,120,up,41.45,41.6,0.15,0,42.34,-0.89
121,121,She,41.83,42.21,0.38,0.23,42.34,-0.51
122,122,feeds,42.21,42.55,0.34,0,42.34,-0.13
123,123,the,42.55,42.69,0.14,0,42.34,0.21
124,124,fire,42.69,42.99,0.3,0,42.34,0.35
125,125,another,42.99,43.54,0.55,0,42.34,0.65
126,126,stick,43.54,43.93,0.39,0,42.34,1.2
127,127,without,43.93,44.48,0.55,0,42.34,1.59
128,128,turning,44.48,45.26,0.78,0,42.34,2.14
129,129,her,45.26,45.29,0.03,0,42.34,2.92
130,130,head,45.29,45.57,0.28,0,46.46,-1.17
131,131,That,45.8,46.1,0.3,0.23,46.46,-0.66
132,132,still,46.1,46.44,0.34,0,46.46,-0.36
133,133,ness,46.44,47.1,0.66,0,46.46,-0.02
134,134,tells,47.1,47.2,0.1,0,46.46,0.64
135,135,you,47.2,47.54,0.34,0,46.46,0.74
136,136,something,47.54,47.78,0.24,0,46.46,1.08
137,137,has,48.66,48.69,0.03,0.88,48.7,-0.04
138,138,been,48.69,48.74,0.05,0,48.7,-0.01
139,139,listening,48.74,49.18,0.44,0,48.7,0.04
140,140,the,49.18,50.06,0.88,0,48.7,0.48
141,141,whole,50.06,50.12,0.06,0,48.7,1.36
142,142,time,50.12,50.45,0.33,0,48.7,1.42
143,143,You,50.7,50.95,0.25,0.25,51.52,-0.82
144,144,watch,50.95,51.37,0.42,0,51.52,-0.57
145,145,her,51.37,51.7,0.33,0,51.52,-0.15
146,146,face,51.7,51.96,0.26,0,51.52,0.18
147,147,and,52.11,52.4,0.29,0.15,51.52,0.59
148,148,you,52.4,52.81,0.41,0,53.02,-0.62
149,149,learn,52.81,53.03,0.22,0,53.02,-0.21
150,150,your,53.03,53.36,0.33,0,53.02,0.01
151,151,first,53.36,53.78,0.42,0,53.02,0.34
152,152,lesson,53.78,54.62,0.84,0,53.02,0.76
153,153,without,54.62,54.84,0.22,0,53.02,1.6
154,154,a,54.89,54.92,0.03,0.05,53.02,1.87
155,155,word,54.92,55.11,0.19,0,53.02,1.9
156,156,being,55.11,55.33,0.22,0,53.02,2.09
157,157,spoken,55.33,55.47,0.14,0,53.02,2.31
158,158,The,56.19,56.26,0.07,0.72,57.1,-0.91
159,159,darkness,56.26,56.96,0.7,0,57.1,-0.84
160,160,past,56.96,57.38,0.42,0,57.1,-0.14
161,161,the,57.38,57.63,0.25,0,57.1,0.28
162,162,fire,57.63,58.01,0.38,0,57.1,0.53
163,163,light,58.01,58.41,0.4,0,57.1,0.91
164,164,is,58.41,58.97,0.56,0,57.1,1.31
165,165,not,58.97,59,0.03,0,57.1,1.87
166,166,empty,59,59.45,0.45,0,60.14,-1.14
167,167,It,59.74,59.93,0.19,0.29,60.14,-0.4
168,168,has,59.93,60.8,0.87,0,60.14,-0.21
169,169,The,61.09,61.37,0.28,0.29,61.38,-0.29
170,170,fire,61.37,61.84,0.47,0,61.38,-0.01
171,171,is,61.84,62.02,0.18,0,61.38,0.46
172,172,the,62.02,62.23,0.21,0,61.38,0.64
173,173,line,62.23,62.4,0.17,0,61.38,0.85
174,174,between,62.4,62.9,0.5,0,61.38,1.02
175,175,you,62.9,63.12,0.22,0,61.38,1.52
176,176,and,63.12,63.8,0.68,0,63.44,-0.32
177,177,whatever,63.8,63.95,0.15,0,63.44,0.36
178,178,lives,63.95,64.35,0.4,0,63.44,0.51
179,179,on,64.35,64.44,0.09,0,63.44,0.91
180,180,the,64.44,64.66,0.22,0,63.44,1
181,181,other,64.66,65.02,0.36,0,63.44,1.22
182,182,side,65.02,65.31,0.29,0,66.44,-1.42
183,183,of,65.31,65.45,0.14,0,66.44,-1.13
184,184,it,65.45,65.7,0.25,0,66.44,-0.99
185,185,You,65.81,66.01,0.2,0.11,66.44,-0.63
186,186,fall,66.01,66.55,0.54,0,66.44,-0.43
187,187,asleep,66.55,66.76,0.21,0,66.44,0.11
188,188,against,66.76,67.27,0.51,0,66.44,0.32
189,189,her,67.27,67.49,0.22,0,66.44,0.83
190,190,side,67.49,67.71,0.22,0,66.44,1.05
191,191,one,68.36,68.55,0.19,0.65,68.58,-0.22
192,192,hand,68.55,69.4,0.85,0,68.58,-0.03
193,193,the,69.4,69.61,0.21,0,68.58,0.82
194,194,warm,69.61,69.89,0.28,0,68.58,1.03
195,195,stones,69.89,70.8,0.91,0,68.58,1.31
196,196,ringing,70.8,70.86,0.06,0,68.58,2.22
197,197,the,70.86,71.08,0.22,0,68.58,2.28
198,198,hear,71.08,71.37,0.29,0,72.5,-1.42
199,199,th,71.37,71.51,0.14,0,72.5,-1.13
200,200,You,71.73,71.95,0.22,0.22,72.5,-0.77
201,201,dream,71.95,72.31,0.36,0,72.5,-0.55
202,202,about,72.31,72.7,0.39,0,72.5,-0.19
203,203,the,72.7,72.89,0.19,0,72.5,0.2
204,204,sound,72.89,73.26,0.37,0,72.5,0.39
205,205,Morning,73.55,73.98,0.43,0.29,74.12,-0.57
206,206,comes,73.98,74.34,0.36,0,74.12,-0.14
207,207,bright,74.34,74.7,0.36,0,74.12,0.22
208,208,and,74.7,75.29,0.59,0,74.12,0.58
209,209,cold,75.29,75.36,0.07,0,74.12,1.17
210,210,and,75.52,75.93,0.41,0.16,75.96,-0.44
211,211,you,75.93,76.4,0.47,0,75.96,-0.03
212,212,run,76.4,76.42,0.02,0,75.96,0.44
213,213,out,76.5,76.62,0.12,0.08,75.96,0.54
214,214,into,76.62,76.89,0.27,0,75.96,0.66
215,215,the,76.89,76.97,0.08,0,75.96,0.93
216,216,frost,76.97,77.43,0.46,0,75.96,1.01
217,217,like,77.43,77.84,0.41,0,75.96,1.47
218,218,nothing,77.84,78.18,0.34,0,79.02,-1.18
219,219,happened,78.18,78.73,0.55,0,79.02,-0.84
220,220,You,78.97,80.57,1.6,0.24,81.26,-2.29
221,221,start,80.57,83.05,2.48,0,84.16,-3.59
222,222,watching,83.05,87.12,4.07,0,87.82,-4.77
223,223,the,87.12,88.67,1.55,0,87.82,-0.7
224,224,older,88.67,88.91,0.24,0,87.82,0.85
225,225,hunters,88.91,89.26,0.35,0,87.82,1.09
226,226,differently,89.26,89.62,0.36,0,87.82,1.44
227,227,You,89.71,90.57,0.86,0.09,90.52,-0.81
228,228,notice,90.57,90.88,0.31,0,90.52,0.05
229,229,where,90.88,91.19,0.31,0,90.52,0.36
230,230,their,91.19,91.39,0.2,0,90.52,0.67
231,231,eyes,91.39,91.54,0.15,0,90.52,0.87
232,232,go,91.54,91.87,0.33,0,90.52,1.02
233,233,when,91.87,92.28,0.41,0,90.52,1.35
234,234,the,92.28,92.31,0.03,0,90.52,1.76
235,235,sun,92.31,92.51,0.2,0,90.52,1.79
236,236,drops,92.51,92.83,0.32,0,93.6,-1.09
237,237,You,93,93.19,0.19,0.17,93.6,-0.6
238,238,notice,93.19,93.57,0.38,0,93.6,-0.41
239,239,how,93.57,93.76,0.19,0,93.6,-0.03
240,240,they,93.76,94.01,0.25,0,93.6,0.16
241,241,arrange,94.01,94.45,0.44,0,93.6,0.41
242,242,themselves,94.45,95.08,0.63,0,93.6,0.85
243,243,around,95.08,95.46,0.38,0,93.6,1.48
244,244,the,95.46,95.65,0.19,0,93.6,1.86
245,245,fire,95.65,95.98,0.33,0,93.6,2.05
246,246,before,95.98,96.84,0.86,0,93.6,2.38
247,247,full,96.84,96.98,0.14,0,93.6,3.24
248,248,dark,96.98,97.35,0.37,0,93.6,3.38
249,249,Nobody,97.49,98.39,0.9,0.14,98.3,-0.81
250,250,told,98.39,98.56,0.17,0,98.3,0.09
251,251,them,98.56,98.93,0.37,0,98.3,0.26
252,252,to,98.93,99.15,0.22,0,98.3,0.63
253,253,do,99.15,99.29,0.14,0,98.3,0.85
254,254,it,99.29,99.47,0.18,0,98.3,0.99
255,255,They,99.75,100.12,0.37,0.28,100.58,-0.83
256,256,just,100.12,100.49,0.37,0,100.58,-0.46
257,257,do,100.49,100.74,0.25,0,100.58,-0.09
258,258,The,101.13,101.27,0.14,0.39,100.58,0.55
259,259,band,101.27,101.6,0.33,0,102.1,-0.83
260,260,has,101.6,101.85,0.25,0,102.1,-0.5
261,261,a,101.85,101.93,0.08,0,102.1,-0.25
262,262,shape,101.93,102.28,0.35,0,102.1,-0.17
263,263,at,102.28,102.91,0.63,0,102.1,0.18
264,264,night,102.91,102.94,0.03,0,102.1,0.81
265,265,it,102.94,103.07,0.13,0,102.1,0.84
266,266,does,103.07,103.4,0.33,0,102.1,0.97
267,267,not,103.4,103.65,0.25,0,102.1,1.3
268,268,have,103.65,103.98,0.33,0,102.1,1.55
269,269,during,103.98,104.48,0.5,0,102.1,1.88
270,270,the,104.48,104.78,0.3,0,102.1,2.38
271,271,day,104.78,104.9,0.12,0,102.1,2.68
272,272,Certain,106.06,106.53,0.47,1.16,106.04,0.02
273,273,men,106.53,106.61,0.08,0,106.04,0.49
274,274,always,106.61,107.4,0.79,0,106.98,-0.37
275,275,face,107.4,107.61,0.21,0,106.98,0.42
276,276,outward,107.61,108.1,0.49,0,106.98,0.63
277,277,Certain,108.34,108.84,0.5,0.24,108.92,-0.58
278,278,men,108.84,109.06,0.22,0,108.92,-0.08
279,279,sleep,109.06,109.43,0.37,0,108.92,0.14
280,280,closest,109.43,110.1,0.67,0,108.92,0.51
281,281,to,110.1,110.13,0.03,0,108.92,1.18
282,282,the,110.13,110.32,0.19,0,108.92,1.21
283,283,fire,110.32,110.61,0.29,0,108.92,1.4
284,284,s,110.61,110.75,0.14,0,108.92,1.69
285,285,edge,110.75,111.04,0.29,0,108.92,1.83
286,286,The,111.94,112.54,0.6,0.9,112.44,-0.5
287,287,arrangement,112.54,112.98,0.44,0,112.44,0.1
288,288,is,112.98,113.24,0.26,0,112.44,0.54
289,289,not,113.24,113.54,0.3,0,112.44,0.8
290,290,accidental,113.54,114.24,0.7,0,115.04,-1.5
291,291,It,114.42,114.59,0.17,0.18,115.04,-0.62
292,292,is,114.59,114.87,0.28,0,115.04,-0.45
293,293,as,114.87,114.96,0.09,0,115.04,-0.17
294,294,deliberate,114.96,115.57,0.61,0,115.04,-0.08
295,295,as,115.57,115.71,0.14,0,115.04,0.53
296,296,any,115.71,115.91,0.2,0,115.04,0.67
297,297,trap,115.91,116.2,0.29,0,115.04,0.87
298,298,your,116.2,116.58,0.38,0,115.04,1.16
299,299,father,116.58,116.9,0.32,0,115.04,1.54
300,300,sets,116.9,117.16,0.26,0,115.04,1.86
301,301,in,117.16,117.27,0.11,0,115.04,2.12
302,302,the,117.27,117.69,0.42,0,115.04,2.23
303,303,river,117.69,117.88,0.19,0,115.04,2.65
304,304,shall,117.88,118.23,0.35,0,115.04,2.84
305,305,ows,118.23,118.44,0.21,0,115.04,3.19
306,306,You,118.73,119.78,1.05,0.29,119.68,-0.95
307,307,are,119.78,119.92,0.14,0,119.68,0.1
308,308,not,119.92,120.13,0.21,0,119.68,0.24
309,309,old,120.13,120.54,0.41,0,119.68,0.45
310,310,enough,120.54,120.62,0.08,0,119.68,0.86
311,311,to,120.62,120.82,0.2,0,119.68,0.94
312,312,hold,120.82,121.07,0.25,0,119.68,1.14
313,313,a,121.07,121.13,0.06,0,119.68,1.39
314,314,position,121.13,121.34,0.21,0,119.68,1.45
315,315,in,121.34,121.75,0.41,0,119.68,1.66
316,316,that,121.75,122.22,0.47,0,123.2,-1.45
317,317,shape,122.22,122.35,0.13,0,123.2,-0.98
318,318,But,122.5,122.69,0.19,0.15,123.2,-0.7
319,319,you,122.69,122.88,0.19,0,123.2,-0.51
320,320,are,122.88,123.07,0.19,0,123.2,-0.32
321,321,old,123.07,123.26,0.19,0,123.2,-0.13
322,322,enough,123.26,123.64,0.38,0,123.2,0.06
323,323,to,123.64,123.86,0.22,0,123.2,0.44
324,324,start,123.86,124.12,0.26,0,123.2,0.66
325,325,learning,124.12,124.55,0.43,0,123.2,0.92
326,326,what,124.55,124.94,0.39,0,123.2,1.35
327,327,it,124.94,124.97,0.03,0,123.2,1.74
328,328,means,124.97,125.25,0.28,0,123.2,1.77
329,329,Level,125.54,126.12,0.58,0.29,125.9,-0.36
330,330,two,126.12,126.34,0.22,0,125.9,0.22
331,331,The,126.78,127.9,1.12,0.44,127.82,-1.04
332,332,boy,127.9,128.21,0.31,0,127.82,0.08
333,333,who,128.21,128.38,0.17,0,127.82,0.39
334,334,carries,128.38,128.72,0.34,0,127.82,0.56
335,335,fire,128.8,129.01,0.21,0.08,127.82,0.98
336,336,you,129.15,129.24,0.09,0.14,127.82,1.33
337,337,are,129.24,129.79,0.55,0,127.82,1.42
338,338,11,129.79,130.14,0.35,0,127.82,1.97
339,339,On,130.28,130.48,0.2,0.14,131.54,-1.26
340,340,nights,130.48,131.08,0.6,0,131.54,-1.06
341,341,when,131.08,131.48,0.4,0,131.54,-0.46
342,342,the,131.48,131.78,0.3,0,131.54,-0.06
343,343,band,131.78,132.18,0.4,0,131.54,0.24
344,344,moves,132.18,132.87,0.69,0,131.54,0.64
345,345,between,132.87,133.39,0.52,0,131.54,1.33
346,346,camps,133.39,133.89,0.5,0,134.24,-0.85
347,347,your,134.03,134.68,0.65,0.14,134.24,-0.21
348,348,job,134.68,134.79,0.11,0,134.24,0.44
349,349,is,134.79,135.02,0.23,0,134.24,0.55
350,350,to,135.02,135.25,0.23,0,134.24,0.78
351,351,carry,135.25,135.72,0.47,0,134.24,1.01
352,352,one,135.72,135.99,0.27,0,134.24,1.48
353,353,of,135.99,136.28,0.29,0,134.24,1.75
354,354,bir,136.28,136.5,0.22,0,136.72,-0.44
355,355,ch,136.5,136.64,0.14,0,136.72,-0.22
356,356,bark,136.64,136.79,0.15,0,136.72,-0.08
357,357,and,136.79,136.95,0.16,0,136.72,0.07
358,358,fat,136.95,137.37,0.42,0,136.72,0.23
359,359,so,137.46,137.7,0.24,0.09,136.72,0.74
360,360,aked,137.7,137.91,0.21,0,136.72,0.98
361,361,moss,137.91,138.23,0.32,0,136.72,1.19
362,362,bound,138.3,138.67,0.37,0.07,136.72,1.58
363,363,with,138.67,138.96,0.29,0,139.06,-0.39
364,364,sine,138.96,139.32,0.36,0,139.06,-0.1
365,365,held,139.58,139.75,0.17,0.26,139.06,0.52
366,366,in,139.75,139.89,0.14,0,139.06,0.69
367,367,both,139.89,140.43,0.54,0,140.34,-0.45
368,368,hands,140.43,140.56,0.13,0,140.34,0.09
369,369,out,140.56,140.85,0.29,0,140.34,0.22
370,370,in,140.85,140.93,0.08,0,140.34,0.51
371,371,front,140.93,141.3,0.37,0,140.34,0.59
372,372,of,141.3,141.45,0.15,0,140.34,0.96
373,373,your,141.45,141.8,0.35,0,140.34,1.11
374,374,body,141.8,142.24,0.44,0,140.34,1.46
375,375,The,142.42,143.36,0.94,0.18,143.26,-0.84
376,376,flame,143.36,143.72,0.36,0,143.26,0.1
377,377,bends,143.72,144.01,0.29,0,143.26,0.46
378,378,in,144.01,144.12,0.11,0,143.26,0.75
379,379,the,144.12,144.28,0.16,0,143.26,0.86
380,380,wind,144.28,144.36,0.08,0,143.26,1.02
381,381,and,144.36,144.69,0.33,0,143.26,1.1
382,382,you,144.69,145.12,0.43,0,143.26,1.43
383,383,curve,145.12,145.15,0.03,0,143.26,1.86
384,384,yourself,145.15,145.67,0.52,0,143.26,1.89
