silence_start,silence_end,token_text,token_start,token_end,onset_error_sec
3.9945,4.362563,They,4.361,4.501,-0.001562999999999981
8.935063,9.358,"Training,",9.34,9.801,-0.018000000000000682
12.11275,12.542438,gone,12.506,12.747,-0.036438000000000415
14.244125,14.660312,These,14.651,14.851,-0.009311999999999543
17.684438,18.085875,They’re,18.082,18.284,-0.003875000000000739
18.321438,18.702813,the,18.385,18.628,-0.31781299999999746
23.02675,23.39325,Number,23.421,23.623,0.02775000000000105
24.742625,25.150625,Before,25.13,25.451,-0.020625000000002558
30.096937,30.348375,the,30.321,30.401,-0.02737499999999926
32.444125,32.878312,It,32.911,32.992,0.03268800000000027
34.425438,34.823375,The,34.801,34.881,-0.022374999999996703
35.34075,35.628375,didn’t,35.663,35.904,0.03462499999999835
37.523063,37.944,It,37.95,38.031,0.006000000000000227
38.369188,38.636938,millions,38.692,39.073,0.0550619999999995
39.818625,40.083188,optimizing,40.135,40.757,0.05181199999999819
42.171375,42.480562,and,42.542,42.662,0.061438000000002546
45.866937,46.273375,Humidity,46.261,46.663,-0.012374999999998693
50.270563,50.634625,Las-charge,50.661,51.245,0.02637500000000159
52.002063,52.391813,Optical,52.432,52.775,0.04018700000000308
54.153937,54.5315,The,54.51,54.591,-0.021500000000003183
61.897,62.178438,and,62.206,62.287,0.027562000000003195
63.714937,64.119313,That’s,64.091,64.312,-0.028313000000011357
64.795375,65.29,anything,65.337,65.779,0.046999999999997044
67.704188,68.08125,Catachan,68.071,68.493,-0.010249999999999204
68.914187,69.301125,ants,69.376,69.577,0.0748750000000058
72.467875,72.875875,The,72.851,72.931,-0.02487499999999443
74.350625,74.625938,"limbs,",74.376,74.757,-0.24993800000000022
80.096438,80.518375,Strangler,80.56,81.001,0.04162499999999625
86.054125,86.44875,Miral,86.491,86.812,0.04224999999999568
89.255125,89.68525,Every,89.741,89.982,0.0557500000000033
94.767125,95.210188,Forces,95.2,95.641,-0.01018799999999942
97.563938,97.829563,operate,97.924,98.305,0.09443700000001343
101.493875,101.8685,The,101.831,101.931,-0.037499999999994316
104.136,104.543375,It,104.581,104.661,0.03762500000000557
106.399812,106.710875,already,106.786,107.086,0.07512499999999989
108.379875,108.771125,Catachan,108.751,109.175,-0.020124999999993065
114.86925,115.208188,rather,115.257,115.597,0.04881199999999808
117.049312,117.448688,For,117.46,117.581,0.011311999999989553
118.36425,118.618313,the,118.603,118.683,-0.015313000000006127
120.069938,120.428313,on,120.508,120.568,0.07968699999999274
121.308688,121.668688,The,121.652,121.732,-0.016688000000002035
123.530812,123.897875,Number,123.911,124.112,0.013125000000002274
125.743375,126.151438,A,126.18,126.201,0.02856200000000797
130.844875,131.395438,and,131.13,131.21,-0.2654380000000174
138.359062,138.733438,Boarding,138.741,139.104,0.007562000000007174
141.193938,141.601375,It’s,141.6,141.741,-0.0013749999999959073
145.7395,146.1245,The,146.092,146.173,-0.03249999999999886
147.435,147.835563,They’re,147.811,148.032,-0.024563000000000557
152.362125,152.7815,smashed,152.892,153.354,0.11050000000000182
155.925625,156.334063,Floors,156.352,156.714,0.017937000000017633
158.780625,159.1815,Gravity,159.151,159.552,-0.030499999999989313
165.713875,166.109938,Sections,166.191,166.654,0.08106200000000285
169.831312,170.191125,The,170.21,170.291,0.018875000000008413
172.691875,173.121938,is,173.177,173.237,0.055061999999992395
174.535375,174.966688,of,175.001,175.061,0.0343119999999999
179.132438,179.531813,Genestealers,179.521,180.223,-0.010813000000013062
185.2095,185.598,They,185.561,185.641,-0.03700000000000614
187.049875,187.47975,They,187.471,187.611,-0.008749999999992042
193.809938,194.223375,Squad,194.31,194.691,0.08662499999999795
206.813437,207.218063,Terminator,207.211,207.653,-0.007062999999988051
211.521563,211.927063,It,211.952,212.012,0.024936999999994214
214.750438,215.188375,It,215.211,215.291,0.022625000000005002
218.284375,218.68075,That’s,218.66,218.881,-0.020749999999992497
220.444563,220.846375,and,220.886,220.986,0.03962500000000091
222.250625,222.620625,Number,222.653,222.856,0.03237500000000182
223.773438,224.1835,Seventeen,224.234,224.66,0.050499999999999545
225.177188,225.55775,That,225.531,225.671,-0.026749999999992724
231.739438,232.096438,Vraks,232.101,232.502,0.0045619999999928496
233.812563,234.10375,built,234.067,234.268,-0.03674999999998363
236.057187,236.315188,rather,236.375,236.656,0.05981199999999376
237.473875,237.902125,Thick,237.922,238.124,0.019874999999984766
239.563312,239.975938,Deep,239.943,240.145,-0.032938000000001466
240.961375,241.395187,it.,240.937,240.997,-0.458186999999981
248.957437,249.3375,The,249.321,249.381,-0.01650000000000773
