clip,script_text
clip3_01,"Aún así, prepara sus armas,"
clip3_02,El detalle importante es que Scylla no persigue a los barcos en mar abierto.
clip3_03,Navegar cerca de Scylla cuesta seis marineros.
clip3_04,La frase «entre Scylla y Caribdis» se convirtió en una forma de describir el estar atrapado entre dos opciones peligrosas.
clip3_05,las seis cabezas se mueven al mismo tiempo.
clip3_06,Scylla es un monstruo que vive dentro de un acantilado junto a un estrecho paso marítimo.
clip3_07,Cada cabeza atrapa a un marinero de la cubierta.
clip3_08,Eso significa que la estrategia más segura no es luchar contra ella.
clip3_09,"Tiene seis cuellos largos,"
clip3_10,Su ataque es sencillo.
