silence_start,silence_end,token_text,token_start,token_end,onset_error_sec
3.9945,4.362563,They,4.3,4.44,-0.06256299999999992
8.935063,9.358,Training,9.34,9.5,-0.018000000000000682
12.11275,12.542438,before,12.22,12.59,-0.322438
14.244125,14.660312,These,14.16,14.47,-0.5003119999999992
17.684438,18.085875,They,18.16,18.16,0.07412499999999866
18.321438,18.702813,worst,18.32,18.55,-0.38281299999999874
23.02675,23.39325,6,23.48,23.65,0.0867500000000021
24.742625,25.150625,Before,24.7,25.24,-0.4506250000000023
30.096937,30.348375,the,30.16,30.2,-0.18837500000000063
32.444125,32.878312,It,32.86,32.94,-0.01831200000000166
34.425438,34.823375,The,34.8,34.96,-0.023375000000001478
35.34075,35.628375,'t,35.34,35.47,-0.28837499999999494
37.523063,37.944,spent,37.47,37.91,-0.47400000000000375
38.369188,38.636938,of,38.67,38.78,0.033062000000001035
39.818625,40.083188,toward,40.09,40.61,0.006812000000003593
42.171375,42.480562,and,42.2,42.36,-0.2805619999999962
45.866937,46.273375,Hum,46.26,46.42,-0.013375000000003467
50.270563,50.634625,Lost,50.68,50.84,0.04537499999999994
52.002063,52.391813,Opt,52.4,52.46,0.0081869999999995
54.153937,54.5315,The,54.52,54.68,-0.011499999999998067
61.897,62.178438,never,61.9,62.19,-0.2784380000000013
63.714937,64.119313,That,63.58,63.91,-0.539313000000007
64.795375,65.29,anything,64.55,65.28,-0.7400000000000091
67.704188,68.08125,Cat,68.12,68.12,0.03875000000000739
68.914187,69.301125,ants,68.98,69.27,-0.321124999999995
72.467875,72.875875,The,72.86,72.86,-0.01587499999999409
74.350625,74.625938,six,74.23,74.57,-0.395938000000001
80.096438,80.518375,Str,80.56,80.56,0.04162499999999625
86.054125,86.44875,My,86.61,86.64,0.16124999999999545
89.255125,89.68525,Every,89.7,89.86,0.01475000000000648
94.767125,95.210188,Forces,94.84,95.24,-0.37018799999999885
97.563938,97.829563,at,97.81,98.03,-0.019562999999990893
101.493875,101.8685,The,101.86,101.88,-0.008499999999997954
104.136,104.543375,It,104.56,104.7,0.016625000000004775
106.399812,106.710875,past,106.49,106.72,-0.2208750000000066
108.379875,108.771125,Cat,108.93,108.94,0.15887500000000898
114.86925,115.208188,rather,114.64,115.1,-0.5681880000000064
117.049312,117.448688,For,116.98,117.23,-0.4686880000000002
118.36425,118.618313,the,118.42,118.68,-0.19831299999999885
120.069938,120.428313,on,120.21,120.36,-0.21831300000000908
121.308688,121.668688,The,121.6,121.76,-0.06868800000000874
123.530812,123.897875,Number,123.9,124.06,0.002125000000006594
125.743375,126.151438,A,126.21,126.3,0.058561999999994896
130.844875,131.395438,used,130.79,131.23,-0.6054380000000208
138.359062,138.733438,Board,138.36,138.73,-0.37343799999999305
141.193938,141.601375,It,141.62,141.62,0.018625000000014325
145.7395,146.1245,The,146.25,146.29,0.12549999999998818
147.435,147.835563,They,147.34,147.6,-0.4955630000000042
152.362125,152.7815,smashed,152.36,153.3,-0.42149999999998045
155.925625,156.334063,Flo,156.36,156.36,0.02593700000002741
158.780625,159.1815,Gravity,159.18,159.34,-0.0014999999999929514
165.713875,166.109938,Sect,166.18,166.18,0.07006200000000717
169.831312,170.191125,The,169.84,169.91,-0.35112499999999613
172.691875,173.121938,chemical,172.57,173.18,-0.5519380000000069
174.535375,174.966688,the,174.51,174.71,-0.45668800000001397
179.132438,179.531813,Gen,179.58,179.68,0.04818700000001286
185.2095,185.598,They,185.52,185.57,-0.07800000000000296
187.049875,187.47975,They,187.48,187.48,0.0002499999999940883
193.809938,194.223375,Squad,194.08,194.28,-0.14337499999999181
206.813437,207.218063,Term,207.24,207.4,0.02193700000000831
211.521563,211.927063,It,211.94,211.94,0.012936999999993759
214.750438,215.188375,It,215.12,215.12,-0.06837500000000318
218.284375,218.68075,That,218.68,218.68,-0.0007499999999822649
220.444563,220.846375,everyone,220.39,220.94,-0.4563750000000084
222.250625,222.620625,Number,222.43,222.8,-0.19062499999998295
223.773438,224.1835,17,223.81,224.34,-0.37350000000000705
225.177188,225.55775,That,225.6,225.74,0.04224999999999568
231.739438,232.096438,V,232.1,232.1,0.0035619999999880747
233.812563,234.10375,storage,233.8,234.36,-0.30374999999997954
236.057187,236.315188,than,235.88,236.45,-0.4351880000000108
237.473875,237.902125,Th,237.92,237.92,0.017874999999975216
239.563312,239.975938,Deep,239.98,240.11,0.004061999999976251
240.961375,241.395187,Def,241.4,241.56,0.004813000000012835
248.957437,249.3375,The,249.08,249.12,-0.2574999999999932
253.208562,253.4915,decades,253.29,253.54,-0.20150000000001
256.134313,256.547687,T,256.56,256.56,0.012313000000006014
257.918437,258.208625,and,257.93,258.09,-0.2786249999999768
260.928063,261.326813,The,261.04,261.08,-0.2868129999999951
269.022938,269.500938,degrad,268.95,269.42,-0.5509380000000306
276.0935,276.481375,Ground,276.38,276.62,-0.10137500000001864
279.875938,280.180187,weeks,279.9,280.36,-0.2801870000000122
281.913687,282.313438,Sold,281.78,282.09,-0.5334380000000465
286.722,287.141625,already,286.64,287.23,-0.50162499999999
291.1755,291.576437,After,291.3,291.5,-0.27643699999998717
292.886062,293.156813,the,292.87,293.09,-0.2868129999999951
295.388875,295.760125,The,295.74,295.83,-0.020125000000007276
