silence_start,silence_end,token_text,token_start,token_end,onset_error_sec
3.9945,4.362563,They,4.36,4.44,-0.002562999999999427
8.935063,9.358,Training,9.36,9.52,0.0019999999999988916
12.11275,12.542438,gone,11.99,12.24,-0.5524380000000004
14.244125,14.660312,These,14.64,14.72,-0.020311999999998775
17.684438,18.085875,They,18.1,18.1,0.014124999999999943
18.321438,18.702813,worst,18.26,18.64,-0.44281299999999746
23.02675,23.39325,6,23.42,23.59,0.026750000000003382
24.742625,25.150625,Before,24.7,25.24,-0.4506250000000023
30.096937,30.348375,the,30.16,30.2,-0.18837500000000063
32.444125,32.878312,It,32.88,32.94,0.001688000000001466
34.425438,34.823375,The,34.8,34.96,-0.023375000000001478
35.34075,35.628375,'t,35.34,35.46,-0.28837499999999494
37.523063,37.944,It,37.94,37.94,-0.0040000000000048885
38.369188,38.636938,of,38.61,38.78,-0.02693800000000124
39.818625,40.083188,toward,40.09,40.61,0.006812000000003593
42.171375,42.480562,and,42.2,42.36,-0.2805619999999962
45.866937,46.273375,Hum,46.26,46.41,-0.013375000000003467
50.270563,50.634625,Lost,50.66,50.82,0.025374999999996817
52.002063,52.391813,Opt,52.0,52.2,-0.3918129999999991
54.153937,54.5315,The,54.56,54.72,0.02850000000000108
61.897,62.178438,never,61.98,62.39,-0.198438000000003
63.714937,64.119313,That,64.04,64.12,-0.07931299999999908
64.795375,65.29,anything,64.6,65.24,-0.6900000000000119
67.704188,68.08125,Cat,68.12,68.12,0.03875000000000739
68.914187,69.301125,ants,68.98,69.27,-0.321124999999995
72.467875,72.875875,The,72.86,72.86,-0.01587499999999409
74.350625,74.625938,six,74.23,74.57,-0.395938000000001
80.096438,80.518375,Str,80.56,80.56,0.04162499999999625
86.054125,86.44875,My,86.62,86.64,0.17125000000000057
89.255125,89.68525,Every,89.7,89.86,0.01475000000000648
94.767125,95.210188,Forces,94.84,95.38,-0.37018799999999885
97.563938,97.829563,operate,97.50999999999999,98.09,-0.31956300000000226
101.493875,101.8685,The,101.84,101.88,-0.028499999999993975
104.136,104.543375,It,104.47999999999999,104.64,-0.06337500000000773
106.399812,106.710875,past,106.43,106.72,-0.28087499999999466
108.379875,108.771125,Cat,108.93,108.94,0.15887500000000898
114.86925,115.208188,rather,114.72,115.17,-0.48818800000000806
117.049312,117.448688,For,116.97999999999999,117.2,-0.4686880000000144
118.36425,118.618313,the,118.35,118.55,-0.26831300000000624
120.069938,120.428313,on,120.21,120.35,-0.21831300000000908
121.308688,121.668688,The,121.6,121.76,-0.06868800000000874
123.530812,123.897875,Number,123.94,124.1,0.042124999999998636
125.743375,126.151438,A,126.21,126.3,0.058561999999994896
130.844875,131.395438,f,130.86,130.97,-0.5354379999999992
138.359062,138.733438,Board,138.74,138.9,0.006562000000002399
141.193938,141.601375,It,141.54,141.54,-0.06137499999999818
145.7395,146.1245,The,145.74,145.77,-0.38450000000000273
147.435,147.835563,They,147.84,147.88,0.004436999999995805
152.362125,152.7815,a,152.44,152.5,-0.34149999999999636
155.925625,156.334063,Flo,156.36,156.36,0.02593700000002741
158.780625,159.1815,Gravity,159.2,159.36,0.01849999999998886
165.713875,166.109938,Sect,166.18,166.18,0.07006200000000717
169.831312,170.191125,The,169.84,169.91,-0.35112499999999613
172.691875,173.121938,chemical,172.57,173.18,-0.5519380000000069
174.535375,174.966688,the,174.51,174.71,-0.45668800000001397
179.132438,179.531813,Gen,179.56,179.68,0.028187000000002627
185.2095,185.598,They,185.52,185.55,-0.07800000000000296
187.049875,187.47975,They,187.48,187.48,0.0002499999999940883
193.809938,194.223375,Squad,194.12,194.32,-0.10337499999999977
206.813437,207.218063,Term,207.22,207.38,0.0019369999999980791
211.521563,211.927063,It,211.92000000000002,211.92000000000002,-0.007062999999988051
214.750438,215.188375,It,215.12,215.12,-0.06837500000000318
218.284375,218.68075,That,218.66,218.66,-0.020749999999992497
220.444563,220.846375,everyone,220.47,221.0,-0.3763749999999959
222.250625,222.620625,Number,222.26,222.8,-0.36062499999999886
223.773438,224.1835,Sev,224.12,224.15,-0.06350000000000477
