silence_start,silence_end,token_text,token_start,token_end,onset_error_sec
0.647,1.404937,child,0.66,1.4,-0.7449370000000001
5.359938,5.9595,You,5.29,5.96,-0.6695000000000002
9.609813,10.2365,The,9.88,10.05,-0.3564999999999987
13.934125,14.774313,Your,14.11,14.39,-0.6643129999999999
17.277563,17.88375,It,17.18,17.9,-0.7037499999999994
19.046813,19.79925,You,19.38,19.44,-0.4192500000000017
20.841,21.511563,You,20.89,21.14,-0.6215629999999983
21.518313,21.88075,hear,21.39,21.76,-0.49074999999999847
23.177875,23.804938,You,23.32,23.57,-0.48493799999999965
24.857813,25.501875,is,24.8,24.96,-0.7018749999999976
27.197375,27.753875,it,27.52,27.55,-0.23387500000000117
28.58975,29.197938,fire,28.67,28.97,-0.5279379999999989
31.8845,32.732937,The,32.08,32.3,-0.6529370000000014
33.826625,34.8155,The,33.9,34.58,-0.9155000000000015
35.832188,36.7475,Your,35.75,36.22,-0.9975000000000023
39.260438,40.333562,Your,39.52,39.89,-0.8135619999999975
41.611688,42.331313,She,41.83,42.21,-0.5013130000000032
45.346812,46.465688,head,45.29,45.57,-1.175688000000001
47.919625,48.668062,She,48.66,48.66,-0.008062000000002456
50.800187,51.525937,You,50.7,50.95,-0.8259369999999961
52.46625,53.034438,you,52.4,52.81,-0.6344380000000029
56.043312,57.106875,The,56.19,56.26,-0.9168750000000045
59.412688,59.775063,It,59.74,59.93,-0.035063000000000955
60.845063,61.384188,The,61.09,61.37,-0.29418799999999834
63.18925,63.446438,and,63.12,63.8,-0.3264380000000031
65.101187,66.452125,side,65.02,65.31,-1.4321249999999992
68.055437,68.57775,one,68.36,68.55,-0.21774999999999523
71.3355,72.515125,th,71.37,71.51,-1.145124999999993
73.833062,74.123188,comes,73.98,74.34,-0.14318799999999499
75.589313,75.972938,and,75.52,75.93,-0.45293800000000317
78.122375,79.029,happened,78.13,78.73,-0.8990000000000009
80.288313,81.254625,in,80.51,80.57,-0.7446249999999992
81.788938,82.2395,and,81.72,82.38,-0.5195000000000078
82.91675,84.169813,permanent,82.38,83.52,-1.7898130000000094
86.659,87.429187,watching,86.65,87.34,-0.7791869999999932
89.805125,90.529625,You,89.79,90.04,-0.7396249999999895
92.660438,93.260813,drops,92.6,92.73,-0.6608130000000045
93.342375,93.599563,how,93.53,93.74,-0.06956300000000226
97.450688,98.304812,Nobody,98.2,98.49,-0.10481199999999546
99.501,100.58325,They,99.56,100.1,-1.0232500000000044
101.380188,102.1145,The,101.42,101.55,-0.694500000000005
105.073188,105.630562,Certain,105.68,106.15,0.0494380000000092
106.687313,106.99475,always,107.08,107.1,0.08525000000000205
108.227812,108.877,Certain,108.22,108.72,-0.6569999999999965
111.402938,112.440313,The,111.64,111.67,-0.8003130000000027
114.300625,115.045625,It,114.44,114.61,-0.6056250000000034
118.768563,119.68875,You,118.7,119.52,-0.988749999999996
122.190562,123.209938,shape,122.09,122.4,-1.1199379999999906
125.629375,125.913,Level,125.94,126.02,0.027000000000001023
126.577813,127.307063,The,126.51,126.89,-0.7970629999999943
127.307125,127.82275,who,127.36,127.59,-0.4627499999999998
130.395688,131.537813,On,130.3,130.51,-1.2378129999999885
133.982812,134.246187,your,134.26,134.28,0.013812999999998965
136.363937,136.726,Bir,136.43,136.65,-0.29599999999999227
138.775813,139.057625,bound,138.6,138.99,-0.4576250000000073
140.010813,140.342813,held,140.36,140.36,0.017187000000006947
142.457,143.263937,The,142.42,142.68,-0.843937000000011
148.448188,149.81775,cold,148.38,148.7,-1.437749999999994
150.93725,151.459563,You,150.93,151.52,-0.529562999999996
154.276688,155.018125,children,154.09,154.67,-0.9281249999999943
161.623188,162.473187,They,161.8,162.06,-0.6731869999999844
164.170125,164.69425,Their,164.4,164.82,-0.29425000000000523
165.879625,166.21975,same,165.89,166.17,-0.3297500000000184
167.109875,168.314938,You,167.08,167.35,-1.2349379999999996
171.338625,172.190188,You,171.84,171.96,-0.35018800000000283
173.801688,174.257313,the,173.75,173.95,-0.5073130000000106
179.473375,180.37725,its,179.53,179.78,-0.8472500000000025
181.180937,182.281,sh,181.02,181.39,-1.2609999999999957
182.895187,183.18125,rear,183.13,183.2,-0.05125000000001023
183.888438,184.169062,moves,183.82,184.41,-0.34906200000000354
187.129938,188.419438,on,187.08,187.28,-1.3394380000000012
188.982375,189.573563,Not,189.08,189.13,-0.49356299999999464
190.196375,190.925438,gentle,190.08,190.94,-0.8454380000000015
191.40825,191.9045,there,191.38,191.98,-0.5245000000000175
192.178812,192.72575,He,192.18,192.38,-0.5457499999999982
196.807125,197.230437,als,196.82,196.91,-0.4104370000000017
199.476812,200.871625,The,200.46,200.58,-0.4116249999999866
202.1095,202.523687,mistake,202.24,202.74,-0.28368699999998626
204.243063,205.079937,You,204.11,204.53,-0.9699369999999874
206.417375,207.011562,You,206.38,206.94,-0.6315620000000024
209.314125,209.694187,on,209.27,209.38,-0.4241869999999892
211.404063,212.17275,again,211.31,211.7,-0.8627500000000055
215.922938,216.557437,An,216.24,216.38,-0.317436999999984
217.753625,218.241813,animal,217.82,218.35,-0.4218130000000144
220.323,221.08075,Wind,220.24,221.28,-0.8407499999999857
223.02575,223.688875,Something,223.3,223.86,-0.38887499999998454
227.883563,228.578937,one,227.83,228.02,-0.7489369999999838
231.435438,231.795125,change,231.43,231.56,-0.36512500000000614
233.495875,233.908437,every,233.86,233.94,-0.048436999999978525
235.102563,235.614188,No,235.26,235.3,-0.35418800000002193
236.265438,236.563063,sound,236.3,236.76,-0.2630629999999883
237.148438,238.401625,The,237.16,237.35,-1.241624999999999
241.938688,242.385938,water,241.89,242.33,-0.49593800000002375
242.661438,242.926125,You,242.72,242.85,-0.20612500000001432
244.897437,245.81525,You,245.47,245.57,-0.34524999999999295
246.916625,247.695188,Your,247.28,247.31,-0.41518800000000056
249.919625,251.8125,asking,250.01,250.36,-1.802500000000009
252.51575,252.966,You,253.09,253.2,0.12399999999999523
253.511,253.973688,16,253.51,254.01,-0.463688000000019
256.447875,256.854688,Not,256.37,256.73,-0.48468800000000556
259.543437,260.228063,hunters,259.54,259.96,-0.6880629999999996
261.2795,261.633813,its,261.48,261.72,-0.1538129999999569
263.50775,263.840062,and,263.43,264.08,-0.41006199999998216
266.644063,266.939875,that,266.53,266.82,-0.40987499999999955
268.393813,268.777562,start,268.4,269.25,-0.3775620000000117
270.820063,271.414188,Never,271.06,271.33,-0.35418800000002193
272.101688,273.014687,Never,272.1,272.94,-0.9146869999999581
273.642562,274.622937,You,273.64,273.8,-0.9829369999999926
275.610125,275.967688,who,275.51,275.75,-0.45768800000001875
278.395562,278.894437,The,278.28,278.52,-0.6144370000000094
283.301438,284.001438,heard,283.18,283.49,-0.8214380000000006
287.0885,287.8705,You,287.3,287.82,-0.5704999999999814
289.396625,289.976375,predator,289.34,289.85,-0.6363750000000437
292.894,293.6395,it,292.96,293.12,-0.6795000000000186
294.5955,295.22925,Mus,294.82,295.07,-0.4092499999999859
295.755063,296.248688,In,296.33,296.35,0.08131199999996852
298.496312,299.090937,You,298.61,298.86,-0.4809369999999831
300.555,300.957562,and,300.62,301.28,-0.33756199999999126
301.844375,302.557875,K,302.24,302.31,-0.317875000000015
304.363187,305.1175,you,304.45,304.73,-0.6675000000000182
305.837,307.0345,too,305.84,305.93,-1.194500000000005
309.385,309.732125,count,309.45,309.81,-0.28212500000000773
312.702875,313.81575,very,312.65,312.96,-1.1657500000000027
