silence_start,silence_end,token_text,token_start,token_end,onset_error_sec
0.647,1.404937,child,0.66,1.4,-0.7449370000000001
5.359938,5.9595,You,5.29,5.96,-0.6695000000000002
9.609813,10.2365,The,9.88,10.05,-0.3564999999999987
13.934125,14.774313,Your,14.11,14.39,-0.6643129999999999
17.277563,17.88375,It,17.18,17.9,-0.7037499999999994
19.046813,19.79925,You,19.38,19.44,-0.4192500000000017
20.841,21.511563,You,20.89,21.14,-0.6215629999999983
21.518313,21.88075,hear,21.39,21.76,-0.49074999999999847
23.177875,23.804938,You,23.32,23.57,-0.48493799999999965
24.857813,25.501875,is,24.8,24.96,-0.7018749999999976
27.197375,27.753875,it,27.52,27.55,-0.23387500000000117
28.58975,29.197938,fire,28.67,28.97,-0.5279379999999989
31.8845,32.732937,The,32.08,32.3,-0.6529370000000014
33.826625,34.8155,The,33.9,34.58,-0.9155000000000015
35.832188,36.7475,Your,35.75,36.22,-0.9975000000000023
39.260438,40.333562,Your,39.52,39.89,-0.8135619999999975
41.611688,42.331313,She,41.83,42.21,-0.5013130000000032
45.346812,46.465688,head,45.29,45.57,-1.175688000000001
47.919625,48.668062,She,48.66,48.66,-0.008062000000002456
50.800187,51.525937,You,50.7,50.95,-0.8259369999999961
52.46625,53.034438,you,52.4,52.81,-0.6344380000000029
56.043312,57.106875,The,56.19,56.26,-0.9168750000000045
59.412688,59.775063,It,59.74,59.93,-0.035063000000000955
60.845063,61.384188,The,61.09,61.37,-0.29418799999999834
63.18925,63.446438,and,63.12,63.8,-0.3264380000000031
65.101187,66.452125,side,65.02,65.31,-1.4321249999999992
68.055437,68.57775,one,68.36,68.55,-0.21774999999999523
71.3355,72.515125,th,71.37,71.51,-1.145124999999993
73.833062,74.123188,comes,73.98,74.34,-0.14318799999999499
75.589313,75.972938,and,75.52,75.93,-0.45293800000000317
78.122375,79.029,happened,78.18,78.73,-0.8489999999999895
81.788938,82.2395,start,80.57,83.05,-1.6695000000000135
82.91675,84.169813,watching,83.05,87.12,-1.1198130000000077
86.659,87.429187,the,87.12,88.67,-0.3091869999999943
89.805125,90.529625,You,89.71000000000001,90.57,-0.8196249999999878
92.660438,93.260813,drops,92.50999999999999,92.83,-0.750813000000008
93.342375,93.599563,notice,93.19,93.57,-0.4095630000000057
97.450688,98.304812,Nobody,97.49000000000001,98.39,-0.8148119999999892
99.501,100.58325,They,99.75,100.12,-0.8332500000000067
101.380188,102.1145,band,101.27000000000001,101.6,-0.8444999999999965
105.073188,105.630562,Certain,106.06,106.53,0.42943800000000465
106.687313,106.99475,always,106.61,107.4,-0.3847499999999968
108.227812,108.877,Certain,108.34,108.84,-0.5369999999999919
111.402938,112.440313,The,111.94,112.53999999999999,-0.5003130000000056
114.300625,115.045625,It,114.42,114.59,-0.6256249999999994
118.768563,119.68875,You,118.72999999999999,119.78,-0.9587500000000091
122.190562,123.209938,shape,122.22,122.35,-0.9899379999999951
125.629375,125.913,Level,125.54,126.12,-0.37299999999999045
127.307125,127.82275,The,126.78,127.9,-1.042749999999998
130.395688,131.537813,nights,130.48,131.08,-1.05781300000001
133.982812,134.246187,your,134.03,134.68,-0.2161869999999908
136.363937,136.726,bir,136.28,136.5,-0.44599999999999795
138.775813,139.057625,with,138.67000000000002,138.96,-0.3876249999999857
140.010813,140.342813,both,139.89,140.43,-0.45281300000002034
142.457,143.263937,The,142.42000000000002,143.36,-0.8439369999999826
148.448188,149.81775,The,148.29,148.86,-1.5277499999999975
150.93725,151.459563,You,151.05,151.25,-0.40956299999999146
154.276688,155.018125,children,154.01,154.67000000000002,-1.0081250000000068
161.623188,162.473187,dark,161.57,161.87,-0.9031870000000026
164.170125,164.69425,Their,164.85,164.99,0.1557499999999834
165.879625,166.21975,tool,165.75,166.06,-0.4697500000000048
167.109875,168.314938,You,167.59,167.75,-0.7249380000000087
171.338625,172.190188,carrying,171.47,171.69,-0.7201880000000074
173.801688,174.257313,and,173.79,174.21,-0.4673130000000185
179.473375,180.37725,its,179.23,179.77,-1.1472500000000139
181.180937,182.281,But,181.64,182.38,-0.6410000000000196
182.895187,183.18125,the,182.9,183.01,-0.28125
183.888438,184.169062,moves,183.72,184.17,-0.44906199999999785
187.129938,188.419438,Not,187.06,187.67,-1.3594380000000115
188.982375,189.573563,not,188.94,189.25,-0.6335630000000094
190.196375,190.925438,just,190.56,190.64,-0.3654380000000117
191.40825,191.9045,it,191.58,191.97,-0.32450000000000045
192.178812,192.72575,you,192.14,192.38,-0.5857500000000186
196.807125,197.230437,Then,197.16,197.24,-0.0704369999999983
199.476812,200.871625,word,199.47,199.81,-1.4016249999999957
202.1095,202.523687,your,202.03,202.36,-0.4936869999999942
204.243063,205.079937,You,204.3,204.44,-0.7799369999999897
206.417375,207.011562,are,206.39,206.6,-0.6215620000000115
209.314125,209.694187,You,209.3,209.74,-0.3941869999999881
211.404063,212.17275,Those,211.52,212.2,-0.6527499999999975
215.922938,216.557437,owl,216.02,216.32999999999998,-0.5374369999999828
217.753625,218.241813,Every,218.24,218.32,-0.0018129999999985102
220.323,221.08075,through,220.43,220.91,-0.650749999999988
223.02575,223.688875,Something,222.98,224.0,-0.7088750000000061
227.883563,228.578937,one,228.15,228.15,-0.4289369999999906
231.435438,231.795125,change,231.49,231.93,-0.30512500000000387
233.495875,233.908437,slows,233.69,233.79,-0.21843699999999444
235.102563,235.614188,No,235.5,235.5,-0.11418800000001283
236.265438,236.563063,no,236.28,236.35,-0.2830629999999985
237.148438,238.401625,The,236.93,237.59,-1.4716249999999889
241.938688,242.385938,You,242.16,242.41,-0.22593800000001352
242.661438,242.926125,sleep,242.41,243.3,-0.5161250000000166
244.897437,245.81525,You,245.02,245.39,-0.7952499999999816
246.916625,247.695188,body,247.02,247.28,-0.6751879999999915
249.919625,251.8125,Level,251.56,251.64,-0.2524999999999977
252.51575,252.966,the,252.11,252.96,-0.8559999999999945
253.511,253.973688,are,253.56,253.8,-0.4136880000000076
256.447875,256.854688,Not,256.43,256.68,-0.4246880000000033
259.543437,260.228063,A,259.5,260.06,-0.7280630000000201
261.2795,261.633813,fl,261.23,261.41,-0.4038129999999569
263.50775,263.840062,bound,263.48,263.93,-0.3600619999999708
266.644063,266.939875,w,266.59,266.9,-0.34987499999999727
268.393813,268.777562,start,268.54,268.9,-0.23756199999996852
270.820063,271.414188,Never,271.46,271.66,0.04581199999995533
272.101688,273.014687,Never,272.86,272.94,-0.15468699999996716
273.642562,274.622937,go,273.49,274.28,-1.1329369999999699
275.610125,275.967688,22,275.5,276.15999999999997,-0.46768800000000965
278.395562,278.894437,The,278.55,278.82,-0.3444369999999708
283.301438,284.001438,heard,283.21,283.54,-0.7914380000000278
287.0885,287.8705,it,287.15,287.35,-0.7205000000000155
289.396625,289.976375,A,289.52,289.56,-0.45637500000003683
292.894,293.6395,names,292.90999999999997,293.31,-0.72950000000003
294.5955,295.22925,thick,294.49,294.90999999999997,-0.73924999999997
295.755063,296.248688,wrong,295.7,296.09000000000003,-0.5486880000000269
298.496312,299.090937,You,299.02,299.04,-0.0709370000000149
300.555,300.957562,stop,300.6,300.97,-0.35756199999997307
301.844375,302.557875,Kor,301.8,302.06,-0.7578750000000127
304.363187,305.1175,He,304.33,304.98,-0.7875000000000227
305.837,307.0345,The,306.66,306.66,-0.374499999999955
309.385,309.732125,enough,309.39,309.96,-0.34212500000001
312.702875,313.81575,You,313.18,313.24,-0.6357499999999732
