silence_start,silence_end,token_text,token_start,token_end,onset_error_sec
3.9945,4.362563,They,4.381,4.501,0.01843700000000048
8.935063,9.358,"Training,",9.36,9.801,0.0019999999999988916
12.11275,12.542438,gone,12.526,12.767,-0.01643800000000084
14.244125,14.660312,These,14.651,14.851,-0.009311999999999543
17.684438,18.085875,They’re,18.082,18.304,-0.003875000000000739
18.321438,18.702813,the,18.648,18.729,-0.054812999999999334
23.02675,23.39325,Number,23.421,23.643,0.02775000000000105
24.742625,25.150625,Before,25.13,25.471,-0.020625000000002558
30.096937,30.348375,the,30.321,30.401,-0.02737499999999926
32.444125,32.878312,It,32.891,32.972,0.012687999999997146
34.425438,34.823375,The,34.801,34.881,-0.022374999999996703
35.34075,35.628375,didn’t,35.683,35.924,0.05462500000000148
37.523063,37.944,It,37.95,38.031,0.006000000000000227
38.369188,38.636938,millions,38.672,39.093,0.035061999999996374
39.818625,40.083188,optimizing,40.135,40.777,0.05181199999999819
42.171375,42.480562,and,42.522,42.682,0.04143799999999942
45.866937,46.273375,Humidity,46.261,46.643,-0.012374999999998693
50.270563,50.634625,Las-charge,50.661,51.245,0.02637500000000159
52.002063,52.391813,Optical,52.432,52.775,0.04018700000000308
54.153937,54.5315,The,54.51,54.57,-0.021500000000003183
61.897,62.178438,and,62.186,62.307,0.007562000000000069
63.714937,64.119313,That’s,64.091,64.292,-0.028313000000011357
64.795375,65.29,anything,65.317,65.779,0.026999999999986812
67.704188,68.08125,Catachan,68.071,68.513,-0.010249999999999204
68.914187,69.301125,ants,69.356,69.557,0.054874999999995566
72.467875,72.875875,The,72.851,72.911,-0.02487499999999443
74.350625,74.625938,six,74.737,74.918,0.11106199999998978
80.096438,80.518375,Strangler,80.56,81.001,0.04162499999999625
86.054125,86.44875,Miral,86.471,86.792,0.02224999999999966
89.255125,89.68525,Every,89.721,89.942,0.035750000000007276
94.767125,95.210188,Forces,95.2,95.641,-0.01018799999999942
97.563938,97.829563,operate,97.884,98.325,0.054437000000007174
101.493875,101.8685,The,101.851,101.931,-0.017499999999998295
104.136,104.543375,It,104.581,104.661,0.03762500000000557
106.399812,106.710875,already,106.746,107.066,0.035124999999993634
108.379875,108.771125,Catachan,108.772,109.175,0.0008750000000077307
114.86925,115.208188,rather,115.277,115.597,0.0688119999999941
117.049312,117.448688,For,117.46,117.581,0.011311999999989553
118.36425,118.618313,the,118.583,118.663,-0.03531300000000215
120.069938,120.428313,on,120.488,120.588,0.059686999999996715
121.308688,121.668688,The,121.652,121.732,-0.016688000000002035
123.530812,123.897875,Number,123.911,124.112,0.013125000000002274
125.743375,126.151438,A,126.16,126.18,0.008561999999997738
130.844875,131.395438,and,131.13,131.21,-0.2654380000000174
138.359062,138.733438,Boarding,138.762,139.124,0.02856199999999376
141.193938,141.601375,It’s,141.62,141.741,0.018625000000014325
145.7395,146.1245,The,146.092,146.173,-0.03249999999999886
147.435,147.835563,They’re,147.831,148.012,-0.0045630000000187465
152.362125,152.7815,smashed,152.892,153.375,0.11050000000000182
155.925625,156.334063,Floors,156.352,156.714,0.017937000000017633
158.780625,159.1815,Gravity,159.171,159.532,-0.010500000000007503
165.713875,166.109938,Sections,166.191,166.674,0.08106200000000285
169.831312,170.191125,The,170.21,170.291,0.018875000000008413
172.691875,173.121938,is,173.157,173.257,0.035062000000010585
174.535375,174.966688,of,174.981,175.081,0.014311999999989666
179.132438,179.531813,Genestealers,179.521,180.243,-0.010813000000013062
185.2095,185.598,They,185.561,185.661,-0.03700000000000614
187.049875,187.47975,They,187.471,187.611,-0.008749999999992042
193.809938,194.223375,Squad,194.29,194.691,0.06662499999998772
206.813437,207.218063,Terminator,207.211,207.673,-0.007062999999988051
211.521563,211.927063,It,211.931,212.012,0.003937000000007629
214.750438,215.188375,It,215.211,215.291,0.022625000000005002
218.284375,218.68075,That’s,218.66,218.901,-0.020749999999992497
220.444563,220.846375,and,220.866,220.986,0.0196250000000191
222.250625,222.620625,Number,222.633,222.856,0.012375000000020009
223.773438,224.1835,Seventeen,224.234,224.68,0.050499999999999545
225.177188,225.55775,That,225.551,225.691,-0.006750000000010914
231.739438,232.096438,Vraks,232.101,232.502,0.0045619999999928496
233.812563,234.10375,built,234.088,234.288,-0.015749999999997044
236.057187,236.315188,rather,236.375,236.656,0.05981199999999376
237.473875,237.902125,Thick,237.922,238.124,0.019874999999984766
239.563312,239.975938,Deep,239.963,240.145,-0.012938000000019656
240.961375,241.395187,Defensive,241.381,241.905,-0.014186999999992622
248.957437,249.3375,The,249.321,249.401,-0.01650000000000773
253.208562,253.4915,decades,253.48,253.902,-0.011500000000012278
256.134313,256.547687,Trenches,256.531,256.933,-0.01668699999999035
257.918437,258.208625,and,258.278,258.459,0.06937500000003638
260.928063,261.326813,The,261.311,261.391,-0.015813000000036936
269.022938,269.500938,degraded,269.473,269.974,-0.027938000000006014
276.0935,276.481375,Ground,276.46,276.841,-0.02137500000003456
279.875938,280.180187,two,280.167,280.367,-0.013187000000016269
281.913687,282.313438,Soldiers,282.37,282.911,0.056561999999985346
286.722,287.141625,already,287.177,287.558,0.035375000000044565
291.1755,291.576437,After,291.611,291.812,0.03456299999999146
292.886062,293.156813,the,293.138,293.219,-0.01881300000002284
295.388875,295.760125,The,295.731,295.812,-0.029125000000021828
296.5225,296.93175,Contaminated,296.921,297.703,-0.010750000000030013
302.193875,302.600563,In,302.622,302.682,0.021436999999991713
311.098687,311.4995,Fourteen,311.511,311.954,0.011500000000012278
314.713375,315.07575,The,315.071,315.151,-0.004750000000001364
317.567625,318.00175,It,318.022,318.102,0.0202499999999759
320.670313,321.0635,Number,321.061,321.281,-0.0024999999999977263
321.826188,322.089187,Necron,322.124,322.545,0.03481300000004239
323.756937,324.116938,A,324.13,324.15,0.013061999999990803
328.198937,328.569687,The,328.561,328.641,-0.008687000000008993
330.392625,330.792687,That’s,330.772,331.054,-0.020687000000009448
332.597562,332.98925,Tomb,332.99,333.351,0.0007499999999822649
338.733125,339.270125,rooms,339.301,339.622,0.030874999999980446
345.182875,345.574125,Whether,345.581,345.782,0.00687500000003638
352.302063,352.712312,The,352.701,352.781,-0.011311999999975342
355.555313,355.956937,That,355.971,356.171,0.014063000000021475
361.208937,361.586313,A,361.591,361.611,0.004686999999989894
363.191375,363.55375,Warriors,363.582,363.984,0.028250000000014097
364.589187,364.97,Twenty,364.951,365.172,-0.019000000000005457
365.624188,365.897125,later,365.975,366.257,0.07787500000000591
369.07625,369.517313,Progress,369.49,370.052,-0.02731299999999237
373.347375,373.768313,The,373.74,373.82,-0.028312999999968724
378.901187,379.19075,shifting,379.247,379.628,0.056250000000034106
380.97125,381.410625,defensive,382.211,382.692,0.8003750000000309
389.17675,389.571563,The,389.541,389.642,-0.030563000000029206
390.533437,390.80775,found,390.868,391.149,0.06024999999999636
393.00125,393.374875,The,393.38,393.48,0.005125000000020918
402.952,403.333375,The,403.321,403.401,-0.012374999999963165
