silence_start,silence_end,token_text,token_start,token_end,onset_error_sec
3.9945,4.362563,They,4.381,4.501,0.01843700000000048
8.935063,9.358,Training,9.36,9.801,0.0019999999999988916
12.11275,12.542438,gone,12.526,12.767,-0.01643800000000084
14.244125,14.660312,These,14.651,14.851,-0.009311999999999543
17.684438,18.085875,'re,17.88,18.082,-0.20587500000000247
18.321438,18.702813,worst,18.183,18.729,-0.5198129999999992
23.02675,23.39325,Cat,23.421,23.542,0.02775000000000105
24.742625,25.150625,Cat,25.531,25.752,0.38037499999999724
30.096937,30.348375,the,30.321,30.401,-0.02737499999999926
32.444125,32.878312,It,32.891,32.972,0.012687999999997146
34.425438,34.823375,The,34.801,34.881,-0.022374999999996703
35.34075,35.628375,didn,35.683,35.884,0.05462500000000148
37.523063,37.944,spent,38.091,38.371,0.14699999999999847
38.369188,38.636938,millions,38.672,39.093,0.035061999999996374
39.818625,40.083188,optimizing,40.135,40.777,0.05181199999999819
42.171375,42.480562,anything,42.883,43.225,0.4024380000000036
45.866937,46.273375,Hum,46.261,46.402,-0.012374999999998693
50.270563,50.634625,Lost,50.661,50.903,0.02637500000000159
52.002063,52.391813,ical,52.634,52.775,0.24218700000000126
54.153937,54.5315,The,54.51,54.57,-0.021500000000003183
61.897,62.178438,and,62.186,62.307,0.007562000000000069
63.714937,64.119313,That,64.091,64.252,-0.028313000000011357
64.795375,65.29,anything,65.317,65.779,0.026999999999986812
67.704188,68.08125,ac,68.151,68.332,0.06974999999999909
68.914187,69.301125,ants,69.356,69.557,0.054874999999995566
72.467875,72.875875,Cat,72.971,73.152,0.09512500000001012
74.350625,74.625938,six,74.737,74.918,0.11106199999998978
80.096438,80.518375,ang,80.721,80.861,0.2026249999999976
86.054125,86.44875,My,86.471,86.631,0.02224999999999966
89.255125,89.68525,Every,89.721,89.942,0.035750000000007276
94.767125,95.210188,without,95.701,95.982,0.49081199999999114
97.563938,97.829563,operate,97.884,98.325,0.054437000000007174
101.493875,101.8685,The,101.851,101.931,-0.017499999999998295
104.136,104.543375,It,104.581,104.661,0.03762500000000557
106.399812,106.710875,already,106.746,107.066,0.035124999999993634
108.379875,108.771125,Cat,108.772,108.933,0.0008750000000077307
114.86925,115.208188,rather,115.277,115.597,0.0688119999999941
117.049312,117.448688,everyone,117.1,117.26,-0.3486880000000099
118.36425,118.618313,the,118.583,118.663,-0.03531300000000215
120.069938,120.428313,on,120.488,120.588,0.059686999999996715
121.308688,121.668688,The,121.652,121.732,-0.016688000000002035
123.530812,123.897875,Number,123.911,124.112,0.013125000000002274
125.743375,126.151438,A,126.16,126.18,0.008561999999997738
130.844875,131.395438,by,131.911,132.051,0.5155619999999885
138.359062,138.733438,Board,138.762,138.983,0.02856199999999376
141.193938,141.601375,a,141.781,141.801,0.1796250000000157
145.7395,146.1245,weren,146.78,146.962,0.6554999999999893
147.435,147.835563,They,147.831,147.931,-0.0045630000000187465
152.362125,152.7815,smashed,152.892,153.375,0.11050000000000182
155.925625,156.334063,ors,156.472,156.714,0.13793700000002218
158.780625,159.1815,Gravity,159.171,159.532,-0.010500000000007503
165.713875,166.109938,ions,166.433,166.674,0.3230619999999931
169.831312,170.191125,where,171.313,171.513,1.1218749999999886
172.691875,173.121938,is,173.157,173.257,0.035062000000010585
174.535375,174.966688,crew,176.046,176.247,1.0793119999999874
179.132438,179.531813,Gen,179.521,179.701,-0.010813000000013062
185.2095,185.598,They,185.561,185.661,-0.03700000000000614
187.049875,187.47975,move,187.691,188.032,0.21125000000000682
193.809938,194.223375,Squad,194.29,194.691,0.06662499999998772
206.813437,207.218063,Term,207.211,207.372,-0.007062999999988051
211.521563,211.927063,still,212.072,212.294,0.14493699999999876
214.750438,215.188375,makes,215.371,215.632,0.1826250000000016
218.284375,218.68075,'s,218.841,218.901,0.1602500000000191
220.444563,220.846375,and,220.866,220.986,0.0196250000000191
222.250625,222.620625,four,222.917,223.139,0.2963750000000118
223.773438,224.1835,Sev,224.234,224.376,0.050499999999999545
225.177188,225.55775,That,225.551,225.691,-0.006750000000010914
231.739438,232.096438,X,232.402,232.422,0.30556199999998057
233.812563,234.10375,built,234.088,234.288,-0.015749999999997044
236.057187,236.315188,rather,236.375,236.656,0.05981199999999376
237.473875,237.902125,ick,238.003,238.124,0.10087499999997362
239.563312,239.975938,Deep,239.963,240.145,-0.012938000000019656
240.961375,241.395187,Def,241.381,241.542,-0.014186999999992622
248.957437,249.3375,attacking,249.421,249.924,0.08349999999998658
253.208562,253.4915,before,253.922,254.163,0.430499999999995
256.134313,256.547687,ren,256.591,256.732,0.043313000000011925
257.918437,258.208625,and,258.278,258.459,0.06937500000003638
260.928063,261.326813,al,261.672,261.993,0.3451870000000099
269.022938,269.500938,degrad,269.473,269.853,-0.027938000000006014
276.0935,276.481375,that,276.861,276.981,0.3796249999999759
279.875938,280.180187,two,280.167,280.367,-0.013187000000016269
281.913687,282.313438,Sold,282.37,282.631,0.056561999999985346
286.722,287.141625,already,287.177,287.558,0.035375000000044565
291.1755,291.576437,seventeen,291.872,292.274,0.29556300000001556
292.886062,293.156813,the,293.138,293.219,-0.01881300000002284
295.388875,295.760125,The,295.731,295.812,-0.029125000000021828
296.5225,296.93175,Cont,296.921,297.162,-0.010750000000030013
302.193875,302.600563,worst,302.823,303.125,0.2224369999999567
311.098687,311.4995,Four,311.511,311.672,0.011500000000012278
314.713375,315.07575,The,315.071,315.151,-0.004750000000001364
317.567625,318.00175,built,318.364,318.646,0.36224999999996044
320.670313,321.0635,Number,321.061,321.281,-0.0024999999999977263
321.826188,322.089187,Ne,322.124,322.224,0.03481300000004239
323.756937,324.116938,c,324.411,324.431,0.2940619999999967
328.198937,328.569687,The,328.561,328.641,-0.008687000000008993
330.392625,330.792687,'s,330.994,331.054,0.2013130000000274
332.597562,332.98925,Tomb,332.99,333.351,0.0007499999999822649
338.733125,339.270125,Ro,339.301,339.401,0.030874999999980446
345.182875,345.574125,that,345.702,345.984,0.12787500000001728
352.302063,352.712312,The,352.701,352.781,-0.011311999999975342
355.555313,355.956937,That,355.971,356.171,0.014063000000021475
361.208937,361.586313,A,361.591,361.611,0.004686999999989894
363.191375,363.55375,Warriors,363.582,363.984,0.028250000000014097
364.589187,364.97,Twenty,364.951,365.172,-0.019000000000005457
365.624188,365.897125,later,365.975,366.257,0.07787500000000591
369.07625,369.517313,Progress,369.49,370.052,-0.02731299999999237
373.347375,373.768313,The,373.74,373.82,-0.028312999999968724
378.901187,379.19075,shifting,379.247,379.628,0.056250000000034106
380.97125,381.410625,cycling,381.47,381.931,0.059375000000045475
389.17675,389.571563,The,389.541,389.642,-0.030563000000029206
390.533437,390.80775,found,390.868,391.149,0.06024999999999636
393.00125,393.374875,thing,393.901,394.101,0.5261250000000359
402.952,403.333375,The,403.321,403.401,-0.012374999999963165
406.55325,406.979312,just,407.081,407.242,0.1016880000000242
