silence_start,silence_end,token_text,token_start,token_end,onset_error_sec
0.722688,1.426125,Scylla,0.321,1.763,-1.1051250000000001
5.82325,6.099125,Tiene,6.292,6.534,0.1928749999999999
12.672562,13.00475,Su,13.152,13.232,0.14724999999999966
14.517,14.865563,Cuando,14.921,15.102,0.055436999999999514
17.124063,17.415,las,17.451,17.532,0.036000000000001364
19.627125,20.170125,Cada,20.152,20.333,-0.018124999999997726
22.75125,23.272063,Seis,23.331,23.551,0.05893700000000024
27.125063,27.815062,El,28.002,28.082,0.18693799999999783
32.07675,32.333625,Se,32.381,32.481,0.04737500000000239
34.027188,34.3495,Eso,34.49,34.631,0.14050000000000296
41.190312,41.649875,Odiseo,41.782,42.204,0.13212499999999494
44.550875,45.295063,Aún,45.322,45.523,0.026937000000003763
48.5165,48.8475,Scylla,48.911,49.171,0.06350000000000477
52.833688,53.30475,Detenerse,53.381,53.863,0.0762500000000017
55.520688,56.127063,Scylla,56.172,56.434,0.04493699999999734
61.044187,61.314625,por,61.35,61.471,0.03537500000000193
64.676625,65.335188,Navegar,65.622,65.983,0.2868119999999976
68.18675,68.500625,Navegar,68.591,68.912,0.09037499999999454
71.769125,72.202625,A,72.22,72.241,0.01737500000000125
77.248937,77.561063,Tradiciones,77.611,78.132,0.0499369999999999
81.094625,81.514437,entre,81.543,81.783,0.028563000000005445
83.58775,84.204625,La,84.391,84.431,0.1863750000000124
