silence_start,silence_end,token_text,token_start,token_end,onset_error_sec
0.647,1.404937,You,2.409,4.275,1.0040629999999997
5.359938,5.9595,You,5.961,6.061,0.0015000000000000568
9.609813,10.2365,The,10.211,10.291,-0.02549999999999919
13.934125,14.774313,Your,14.763,14.903,-0.011312999999999462
17.277563,17.88375,It,17.902,17.982,0.018250000000001876
19.046813,19.79925,You,19.814,19.915,0.014749999999999375
21.518313,21.88075,You,21.875,21.956,-0.005749999999999034
23.177875,23.804938,You,23.792,23.872,-0.01293799999999834
24.857813,25.501875,You,25.501,25.602,-0.0008749999999970726
27.197375,27.753875,it,27.775,27.835,0.02112499999999784
28.58975,29.197938,and,29.191,29.291,-0.006938000000001665
31.8845,32.732937,The,32.724,32.785,-0.008937000000003081
33.826625,34.8155,The,34.802,34.863,-0.013500000000000512
35.832188,36.7475,Your,36.733,36.853,-0.014500000000005286
39.260438,40.333562,Your,40.313,40.433,-0.020561999999998193
41.611688,42.331313,She,42.362,42.463,0.030687000000000353
45.346812,46.465688,That,46.442,46.603,-0.02368799999999993
47.919625,48.668062,She,48.772,48.892,0.10393799999999942
50.800187,51.525937,You,51.521,51.622,-0.004936999999998193
52.46625,53.034438,and,53.047,53.127,0.012561999999995521
56.043312,57.106875,The,57.082,57.162,-0.024875000000001535
59.412688,59.775063,It,60.156,60.217,0.38093699999999586
60.845063,61.384188,The,61.371,61.431,-0.013187999999999533
63.18925,63.446438,and,63.46,63.561,0.013562000000000296
65.101187,66.452125,You,66.435,66.536,-0.01712499999999295
68.055437,68.57775,one,68.712,68.873,0.13425000000000864
71.3355,72.515125,You,72.513,72.614,-0.002124999999992383
73.833062,74.123188,Morning,74.141,74.422,0.01781200000000638
75.589313,75.972938,and,75.969,76.069,-0.003938000000005104
78.122375,79.029,But,79.004,79.125,-0.024999999999991473
80.288313,81.254625,Small,81.35,81.675,0.09537499999999
81.788938,82.2395,permanent.,81.736,82.02,-0.5035000000000025
82.91675,84.169813,A,84.184,84.204,0.014186999999992622
86.659,87.429187,You,87.792,87.892,0.3628130000000027
89.805125,90.529625,You,90.501,90.602,-0.02862499999999102
93.342375,93.599563,You,93.571,93.671,-0.028563000000005445
97.450688,98.304812,Nobody,98.324,98.627,0.01918799999999976
99.501,100.58325,They,100.563,100.664,-0.02025000000000432
101.380188,102.1145,The,102.086,102.166,-0.028500000000008185
105.073188,105.630562,Certain,106.073,106.376,0.44243799999999567
106.687313,106.99475,always,107.04,107.402,0.045250000000010004
108.227812,108.877,Certain,108.912,109.174,0.0350000000000108
111.402938,112.440313,The,112.432,112.512,-0.008313000000001125
114.300625,115.045625,It,115.041,115.121,-0.00462500000000432
118.768563,119.68875,You,119.691,119.792,0.002250000000003638
122.190562,123.209938,But,123.181,123.281,-0.028937999999996578
127.307125,127.82275,You,128.153,129.697,0.3302499999999924
130.395688,131.537813,On,131.564,131.665,0.026186999999993077
133.982812,134.246187,your,134.282,134.484,0.035813000000018747
136.363937,136.726,Birch,136.821,137.082,0.09499999999999886
138.775813,139.057625,bound,139.134,139.398,0.07637499999998454
140.010813,140.342813,held,140.351,140.553,0.008186999999992395
142.457,143.263937,The,143.251,143.311,-0.012936999999993759
148.448188,149.81775,The,149.803,149.884,-0.01474999999999227
150.93725,151.459563,You,151.452,151.552,-0.007563000000004649
154.276688,155.018125,Behind,154.991,155.392,-0.027124999999983856
161.623188,162.473187,They,162.452,162.572,-0.021186999999997624
164.170125,164.69425,Their,164.682,164.802,-0.012250000000022965
165.879625,166.21975,same,166.271,166.493,0.05124999999998181
167.109875,168.314938,You,168.322,168.402,0.007061999999990576
171.338625,172.190188,You,172.191,172.271,0.0008119999999962602
173.801688,174.257313,and,174.256,174.336,-0.0013130000000103337
179.473375,180.37725,Nobody,180.395,180.658,0.017750000000006594
181.180937,182.281,But,182.252,182.373,-0.028999999999996362
182.895187,183.18125,the,183.156,183.237,-0.025249999999999773
183.888438,184.169062,moves,184.22,184.501,0.05093800000000215
187.129938,188.419438,Not,188.83,188.956,0.41056199999999876
188.982375,189.573563,Not,189.572,189.713,-0.001563000000004422
190.196375,190.925438,Just,190.922,191.124,-0.0034380000000169275
192.178812,192.72575,He,192.733,192.793,0.0072499999999990905
