segment_display_order,segment_text,segment_duration_sec,word,onset_error_sec,severity_ratio,fa_confidence_score,scorer_margin_sec,is_it_scorer_artifact,is_known_legacy_defect_segment
61,Not hard.,0.44,hard.,-0.5965630000000033,1.3558,0.0358,0.0361,False,True
144,Wind.,0.55,Wind.,-0.5535629999999969,1.0065,0.0528,0.8047,False,True
61,Not hard.,0.44,Not,0.41056199999999876,0.9331,0.0478,1.7631,False,True
303,You rebuild.,0.475,You,-0.41012499999999363,0.8634,0.0411,0.6903,False,False
171,and you never stop carrying it.,2.48,it.,-1.4352499999999964,0.5787,0.9996,0.0179,True,False
80,No sound.,0.825,No,-0.4766249999999843,0.5777,0.0058,0.8486,False,True
185,The other is Yaro,1.03,Yaro,-0.5059380000000147,0.4912,0.0,0.0759,False,False
383,You are sixty-four.,2.96,You,1.4518749999999727,0.4905,0.9396,1.9696,False,False
307,You are forty-nine.,4.43,You,2.1386250000000473,0.4828,0.9838,2.8497,False,False
261,You do not always manage it.,1.88,it.,-0.8587499999999864,0.4568,0.9992,0.0098,True,False
123,You see him doing it.,1.62,it.,-0.7269380000000183,0.4487,0.9987,0.0062,True,False
78,every person slows.,1.95,person,-0.873187999999999,0.4478,0.2833,0.0909,False,True
28,Small and permanent.,1.28,permanent.,-0.5035000000000025,0.3934,0.0001,0.0891,False,True
263,Every dawn is temporary.,1.73,temporary.,-0.5749369999999772,0.3323,0.0018,0.0643,False,False
154,When the night birds cut off mid-call,1.215,When,0.39931300000000647,0.3287,0.9704,0.8436,False,False
295,The positioning was right.,1.33,right.,-0.43687499999998636,0.3285,0.0,0.0644,False,True
130,The discomfort is the point.,1.15,The,0.3745000000000118,0.3257,0.5635,1.0434,False,True
22,The fire is the line between you and whatever lives on the other side of it.,4.66,it.,-1.3851250000000022,0.2972,0.9995,0.0058,True,False
78,every person slows.,1.95,every,0.5715629999999976,0.2931,0.0143,1.0846,False,True
381,It has to grow inside the living of it.,2.51,it.,-0.7038749999999254,0.2804,0.9993,0.0095,True,False
21,It has weight.,1.36,It,0.38093699999999586,0.2801,0.9989,0.7738,False,False
281,You tell Fen,1.33,You,0.3683120000000599,0.2769,0.9249,0.733,False,False
381,It has to grow inside the living of it.,2.51,It,0.5919999999998709,0.2359,0.9998,1.0507,False,False
