clip,script_text
clip_01,When the night birds cut off mid-call
clip_02,Accepting that without it hollowing out your readiness is harder than any technique.
clip_03,You are seven years old.
clip_04,You live inside a skin-covered shelter at the edge of a shallow valley.
clip_05,The fire your mother tends smells like pine resin and scorched bone.
clip_06,He finds you at your post afterward.
clip_07,"Behind you, two of the most experienced men walk the rear with thrusting spears angled outward into the dark."
clip_08,They will carry a torch in both hands and guard it with their body against the wind.
clip_09,It has weight.
clip_10,You are sixty-four.
clip_11,You are forty-nine.
clip_12,You watch her face and you learn your first lesson without a word being spoken.
