seg_next_display,fa_word,fa_onset,chosen_silence_end,true_silence_end,onset_error_sec,status
2,You,5.961,5.9595,5.9595,0.0015000000000000568,ok
3,The,10.211,10.2365,10.2365,-0.02549999999999919,ok
4,Your,14.763,14.774313,14.774313,-0.011312999999999462,ok
5,It,17.902,17.88375,17.88375,0.018250000000001876,ok
6,You,19.814,19.79925,19.79925,0.014749999999999375,ok
7,You,21.875,21.88075,21.88075,-0.005749999999999034,ok
8,You,23.792,23.804938,23.804938,-0.01293799999999834,ok
9,You,25.501,25.501875,25.501875,-0.0008749999999970726,ok
10,it,27.775,27.753875,27.753875,0.02112499999999784,ok
11,and,29.191,29.197938,29.197938,-0.006938000000001665,ok
12,The,32.724,32.732937,32.732937,-0.008937000000003081,ok
13,The,34.802,34.8155,34.8155,-0.013500000000000512,ok
14,Your,36.733,36.7475,36.7475,-0.014500000000005286,ok
15,Your,40.313,40.333562,40.333562,-0.020561999999998193,ok
16,She,42.362,42.331313,42.331313,0.030687000000000353,ok
17,That,46.442,46.465688,46.465688,-0.02368799999999993,ok
18,She,48.772,48.668062,48.668062,0.10393799999999942,ok
19,You,51.521,51.525937,51.525937,-0.004936999999998193,ok
20,The,57.082,57.106875,57.106875,-0.024875000000001535,ok
21,It,60.156,59.775063,59.775063,0.38093699999999586,ok
22,The,61.371,61.384188,61.384188,-0.013187999999999533,ok
23,You,66.435,66.452125,66.452125,-0.01712499999999295,ok
24,one,68.712,68.57775,68.57775,0.13425000000000864,ok
25,You,72.513,72.515125,72.515125,-0.002124999999992383,ok
26,Morning,74.141,74.123188,74.123188,0.01781200000000638,ok
27,But,79.004,79.029,79.029,-0.024999999999991473,ok
28,Small,81.35,81.254625,81.254625,0.09537499999999,ok
29,A,84.184,84.169813,84.169813,0.014186999999992622,ok
30,You,87.792,87.429187,87.429187,0.3628130000000027,ok
31,You,90.501,90.529625,90.529625,-0.02862499999999102,ok
32,You,93.571,93.599563,93.599563,-0.028563000000005445,ok
33,Nobody,98.324,98.304812,98.304812,0.01918799999999976,ok
34,They,100.563,100.58325,100.58325,-0.02025000000000432,ok
35,The,102.086,102.1145,102.1145,-0.028500000000008185,ok
36,Certain,106.073,105.630562,105.630562,0.44243799999999567,ok
37,Certain,108.912,108.877,108.877,0.0350000000000108,ok
38,The,112.432,112.440313,112.440313,-0.008313000000001125,ok
39,It,115.041,115.045625,115.045625,-0.00462500000000432,ok
40,You,119.691,119.68875,119.68875,0.002250000000003638,ok
41,But,123.181,123.209938,123.209938,-0.028937999999996578,ok
42,You,128.153,127.82275,127.82275,0.3302499999999924,ok
43,On,131.564,131.537813,131.537813,0.026186999999993077,ok
44,your,134.282,134.246187,134.246187,0.035813000000018747,ok
45,Birch,136.821,136.726,136.726,0.09499999999999886,ok
