clip,seg_display,kind,is_breath,scored,fa_onset,sd_end,f_corrected,human_B_abs,fa_err_ms,sd_err_ms,f_err_ms
clip2_01,24,unresolved,False,True,68.712,68.57775,68.5774375,68.580437,131.56299999999987,-2.6870000000087657,-2.999500000001376
clip2_02,224,unresolved,False,True,666.765,666.396187,666.3971875,667.647187,-882.1870000000445,-1250.9999999999764,-1249.999500000058
clip2_03,6,control,False,True,19.814,19.79925,19.8008125,19.797813,16.18699999999862,1.4369999999992444,2.9994999999978234
clip2_04,26,control,False,True,74.141,74.123188,74.0990625,74.120062,20.93800000000101,3.125999999994633,-20.999500000002058
clip2_05,16,control,False,True,42.362,42.331313,42.4376875,42.339688,22.311999999999443,-8.37500000000091,97.99950000000024
clip2_06,11,control,True,True,29.191,29.197938,29.20775,29.196749999999998,-5.749999999999034,1.1880000000026314,11.000000000002785
clip2_07,18,unresolved,False,True,48.772,48.668062,48.841625,48.666625,105.37499999999511,1.4369999999956917,174.99999999999716
clip2_08,319,unresolved,False,True,972.332,972.2355,972.3625,972.2305,101.49999999998727,4.9999999999954525,131.99999999994816
clip2_09,264,unresolved,False,False,781.371,781.202937,781.18675,782.04575,-674.7500000000173,-842.8129999999783,-859.0000000000373
clip2_10,33,control,False,True,98.324,98.304812,98.3006875,98.301688,22.311999999999443,3.1239999999996826,-1.0005000000035125
clip2_12,42,unresolved,False,True,128.153,127.82275,127.829125,129.451125,-1298.1249999999989,-1628.3749999999914,-1621.9999999999857
clip2_13,36,control,True,True,106.073,105.630562,106.1391875,106.022188,50.81199999999342,-391.62600000000225,116.9995000000057
clip2_14,437,unresolved,True,True,1387.791,1387.542813,1387.93025,1387.80925,-18.250000000080036,-266.43699999999626,120.99999999986721
clip2_15,293,unresolved,True,False,881.402,881.174625,881.4051875,881.407188,-5.1879999999755455,-232.5630000000274,-2.0005000000082873
clip2_16,108,unresolved,True,True,328.842,328.657,328.9230625,328.85206300000004,-10.063000000059219,-195.0630000000615,70.9994999999708
clip2_17,89,unresolved,True,True,268.993,268.777562,269.0278125,269.013813,-20.81300000003239,-236.2510000000384,13.999499999954423
clip2_18,355,unresolved,True,True,1096.931,1096.736688,1097.0995625,1096.942563,-11.563000000023749,-205.8750000001055,156.99949999998353
clip2_19,43,control,False,True,131.564,131.537813,131.5256875,131.535688,28.31199999999967,2.125000000006594,-10.000499999989643
clip2_20,3,control,False,True,10.211,10.2365,10.4358125,10.235813,-24.812999999999974,0.686999999999216,199.99950000000055
