marker_time,prev_seg,prev_text,prev_end,next_seg,next_text,next_start,gap_sec
0.08,,,,1,You,2.409,
125.54,41,it,125.125,42,You,128.153,3.0279999999999916
251.56,84,asking.,249.887,85,You,253.975,4.087999999999994
371.54,124,hands.,370.094,125,You,373.985,3.8910000000000196
522.0,175,arguing.,521.51,176,You,526.385,4.875
663.91,222,time.,662.242,223,You,665.034,2.79200000000003
789.26,265,end.,788.005,266,You,792.421,4.416000000000054
925.14,306,working.,924.766,307,You,929.335,4.569000000000074
1044.72,339,you.,1044.644,340,You,1050.223,5.578999999999951
1189.76,382,now.,1188.264,383,You,1192.522,4.258000000000038
