window,old_word,old_err,old_conf,new_word,new_err,new_conf,resolved
293-308,You,2.1386,0.9838,You,2.1496,0.9176,False
378-384,You,1.4519,0.9396,You,1.4669,0.9709,False
0-2,You,1.0041,0.9984,You,0.9981,0.9989,False
74-81,person,-0.8732,0.2833,No,0.0118,0.9851,True
127-132,It,-0.6834,0.9992,It,0.0196,0.9992,True
378-384,It,0.592,0.9998,It,0.603,0.9995,False
74-81,every,0.5716,0.0143,every,0.0366,0.9931,True
141-145,Wind.,-0.5536,0.0528,Wind.,0.0384,0.9112,True
293-308,Accepting,0.5305,0.826,Accepting,0.5375,0.8823,False
415-424,Eyes,0.5218,0.9985,Eyes,0.5118,0.9982,False
200-204,You,0.5095,0.9609,You,0.5035,0.9982,False
114-120,You,0.5063,0.9747,You,0.5183,0.8651,False
25-31,permanent.,-0.5035,0.0001,and,0.0075,0.9939,True
254-261,that,0.4809,0.9468,that,0.4709,0.9921,False
74-81,No,-0.4766,0.0058,The,-0.0146,0.999,True
178-182,Your,0.4684,0.9996,Your,0.4744,0.9978,False
293-308,The,-0.4452,0.9983,The,-0.0162,0.9971,True
33-37,Certain,0.4424,0.9963,Certain,0.4574,0.9744,False
221-234,They,0.4331,0.9997,They,0.4401,0.9989,False
58-62,Not,0.4106,0.0478,Not,0.0236,0.9995,True
293-308,You,-0.4101,0.0411,You,0.0169,0.9306,True
166-170,He,0.4074,0.9998,He,0.4154,0.9997,False
394-401,and,0.4064,0.9246,and,0.4144,0.9566,False
151-160,When,0.3993,0.9704,When,0.3863,0.9981,False
74-81,When,0.3959,0.997,When,0.3889,0.9992,False
18-22,It,0.3809,0.9989,It,0.3899,0.9997,False
127-132,The,0.3745,0.5635,The,0.3865,0.9468,False
221-234,You,0.3688,0.9859,You,0.3778,0.9894,False
278-282,You,0.3683,0.9249,You,0.3723,0.9298,False
25-31,You,0.3628,0.986,You,0.3828,0.9893,False
387-391,You,0.358,0.9386,You,0.369,0.9965,False
221-234,When,0.3457,0.996,When,0.3697,0.9916,False
394-401,You,0.3428,0.9984,You,0.3478,0.9936,False
348-352,or,0.3418,0.931,or,0.3367,0.9996,False
211-215,You,0.3382,0.9985,You,0.3212,0.9981,False
66-71,You,0.3378,0.9433,You,0.3458,0.9436,False
254-261,You,0.3365,0.9983,You,0.3285,0.9252,False
265-269,That,0.3304,0.9616,That,0.3514,0.998,False
39-43,You,0.3302,0.9779,You,0.3323,0.9663,False
114-120,A,0.3277,0.9983,A,0.3297,0.9983,False
243-247,Then,0.3252,0.9197,Then,0.3283,0.9567,False
151-160,The,0.3246,0.9997,The,0.3206,0.9584,False
439-443,They,0.3212,0.9998,They,0.3232,0.9996,False
415-424,You,0.3135,0.9983,You,0.3255,0.9982,False
394-401,You,0.3063,0.9611,You,0.3103,0.9904,False
293-308,You,0.2907,0.9935,You,0.3027,0.9965,False
83-87,Not,0.2883,0.8776,Not,0.2903,0.9998,False
66-71,You,0.2814,0.9993,You,0.2844,0.9991,False
415-424,She,0.2787,0.9696,She,0.2727,0.997,False
