startSec,endSec
4.0,4.36
8.92,9.36
11.22,11.5
12.1,12.54
14.2,14.66
16.36,16.64
17.68,18.08
18.32,18.7
22.94,23.38
24.72,25.14
29.78,30.34
32.42,32.88
34.42,34.82
35.34,35.62
37.52,37.94
38.36,38.64
39.8,40.08
41.96,42.48
45.84,46.28
50.26,50.62
52.0,52.38
54.14,54.52
61.74,62.18
63.7,64.12
64.78,65.28
67.7,68.08
68.9,69.3
72.46,72.88
74.32,74.64
75.5,75.82
80.08,80.52
82.6,82.88
86.06,86.44
89.24,89.68
92.54,92.82
94.7,95.22
97.4,97.82
99.06,99.4
101.48,101.86
104.14,104.54
106.4,106.7
108.38,108.76
113.84,114.26
114.86,115.2
117.06,117.48
118.36,118.62
120.06,120.42
121.28,121.66
123.52,123.9
125.74,126.14
126.84,127.14
130.84,131.44
135.5,135.86
138.34,138.74
141.2,141.6
145.74,146.12
147.42,147.84
152.36,152.78
155.92,156.36
158.76,159.18
161.2,161.46
165.7,166.12
169.82,170.2
172.7,173.12
174.52,174.96
177.08,177.5
179.1,179.54
182.16,182.56
185.2,185.6
187.02,187.48
193.8,194.22
206.74,207.22
209.98,210.26
211.46,211.92
214.72,215.18
218.26,218.68
220.44,220.84
222.16,222.62
223.76,224.18
225.18,225.56
231.72,232.12
233.8,234.1
235.96,236.32
237.44,237.94
239.56,239.96
240.96,241.4
248.9,249.34
253.2,253.48
256.12,256.54
257.78,258.2
260.9,261.32
266.28,266.74
269.02,269.5
276.08,276.48
279.88,280.18
281.9,282.32
286.58,287.14
289.18,289.5
291.16,291.58
292.88,293.16
295.38,295.76
296.52,296.92
302.2,302.6
308.24,308.58
311.08,311.52
314.7,315.08
317.56,318.0
320.62,321.06
321.82,322.08
323.74,324.12
326.28,326.78
328.2,328.56
330.38,330.8
332.6,332.98
338.74,339.26
345.16,345.58
352.3,352.7
355.54,355.96
358.14,358.4
361.16,361.58
363.18,363.54
364.58,364.96
365.62,365.9
367.58,367.88
369.06,369.52
373.32,373.76
377.38,377.74
378.9,379.2
380.96,381.42
389.1,389.58
390.52,390.84
392.98,393.38
400.7,401.06
402.94,403.34
405.32,405.58
406.54,406.98
409.76,410.06
411.34,411.78
413.5,413.88
417.0,417.3
419.56,420.06
424.0,424.38
432.26,432.66
433.26,433.52
436.1,436.5
443.36,443.78
444.74,445.2
447.68,448.26
449.7,450.02
452.36,452.84
454.52,454.98
457.2,457.6
462.16,462.58
465.48,465.9
472.16,472.42
474.12,474.64
477.32,477.74
480.4,480.82
482.14,482.52
484.46,484.8
486.5,486.78
487.6,488.0
492.2,492.54
497.28,497.68
500.72,501.18
503.84,504.22
506.82,507.2
508.62,509.04
510.54,510.96
512.4,512.8
513.5,513.92
515.3,515.7
518.44,518.82
520.38,520.78
522.14,522.4
524.12,524.54
526.94,527.4
527.5,527.86
532.58,532.96
534.98,535.26
540.42,540.72
543.26,543.68
548.4,548.9
551.56,551.88
553.24,553.62
556.1,556.44
560.14,560.54
560.74,561.02
566.24,566.62
568.18,568.44
572.64,573.04
573.9,574.24
575.92,576.54
579.54,579.88
581.52,582.04
586.08,586.48
588.38,588.66
592.22,592.48
593.68,594.08
594.96,595.3
597.62,598.04
604.82,605.3
609.04,609.44
612.32,612.7
615.08,615.52
616.74,617.12
618.78,619.1
622.12,622.48
624.48,624.88
629.06,629.44
630.82,631.1
634.24,634.68
638.08,638.48
641.76,642.16
643.1,643.5
646.52,646.92
650.48,650.78
651.92,652.32
657.56,657.96
659.6,659.98
662.8,663.16
665.34,665.6
667.06,667.44
671.5,671.94
673.76,674.2
675.38,675.82
677.68,678.1
683.3,683.76
685.54,685.9
686.7,687.08
690.4,690.72
691.18,691.58
697.34,697.74
700.2,700.74
702.02,702.46
703.3,703.68
705.06,705.44
706.32,706.78
708.66,709.0
