idx,text,startSec,endSec
0,S,0.12,0.24
1,illa,0.24,0.64
2,S,0.84,0.92
3,illa,0.92,1.21
4,es,1.21,1.42
5,un,1.42,1.5
6,mon,1.5,1.7
7,stru,1.7,1.99
8,o,1.99,2.06
9,que,2.06,2.27
10,vive,2.27,2.6
11,dentro,2.6,2.99
12,de,2.99,3.13
13,un,3.13,3.34
14,ac,3.34,3.48
15,ant,3.48,3.7
16,il,3.7,3.84
17,ado,3.84,4.12
18,junto,4.12,4.43
19,a,4.43,4.5
20,un,4.5,4.68
21,estre,4.68,4.94
22,cho,4.94,5.09
23,paso,5.09,5.25
24,mar,5.25,5.37
25,ít,5.37,5.49
26,imo,5.49,5.6
27,iene,6.32,6.35
28,6,6.35,6.42
29,c,6.42,6.56
30,uell,6.56,6.72
31,os,6.72,6.86
32,larg,6.86,7.16
33,os,7.16,7.32
34,6,7.55,7.74
35,cab,7.74,7.91
36,ez,7.91,8.06
37,as,8.06,8.24
38,3,8.37,8.58
39,h,8.58,8.65
40,iler,8.65,8.95
41,as,8.95,9.1
42,de,9.1,9.25
43,di,9.25,9.4
44,entes,9.4,9.78
45,en,9.78,9.93
46,cada,9.93,10.23
47,boca,10.23,10.53
48,y,10.53,10.63
49,12,10.63,11.13
50,pat,11.13,11.27
51,as,11.27,11.42
52,deb,11.42,11.64
53,ajo,11.64,11.88
54,de,11.88,12.3
55,cuerpo,12.3,12.7
56,Su,12.89,13.01
57,ataque,13.01,13.41
58,es,13.41,13.72
59,sencill,13.72,14.01
60,o,14.01,14.07
61,Cuando,14.26,14.66
62,un,14.66,14.79
63,bar,14.79,14.99
64,co,14.99,15.12
65,pasa,15.12,15.38
66,lo,15.38,15.51
67,su,15.51,15.64
68,fic,15.64,15.83
69,ient,15.83,16.09
70,emente,16.09,16.48
71,cerca,16.48,16.81
72,las,17.11,17.31
73,6,17.31,17.58
74,cab,17.58,17.87
75,ez,17.87,18.03
76,as,18.03,18.27
77,se,18.27,18.46
78,mue,18.46,18.7
79,ven,18.7,18.88
80,al,18.88,19.01
81,mismo,19.01,19.37
82,tiempo,19.37,19.88
83,Cada,20.02,20.38
84,cabeza,20.38,20.73
85,at,20.73,20.89
86,rap,20.89,21.08
87,a,21.08,21.15
88,a,21.15,21.22
89,un,21.22,21.36
90,marin,21.36,21.72
91,ero,21.72,21.93
92,de,21.93,22.07
93,la,22.07,22.21
94,cub,22.21,22.58
95,ier,22.58,22.63
96,ta,22.63,22.77
97,6,22.98,23.27
98,cab,23.27,23.4
99,ez,23.4,23.55
100,as,23.55,23.67
101,signific,23.67,24.2
102,an,24.2,24.77
103,6,24.77,24.84
104,mar,25.03,25.08
105,iner,25.08,25.35
106,os,25.35,25.48
107,que,25.48,26.26
108,desapare,26.26,26.34
109,cen,26.34,26.5
110,en,26.5,26.64
111,un,26.64,26.78
112,solo,26.78,27.07
113,ataque,27.07,27.51
114,El,27.72,27.86
115,det,27.86,28.08
116,alle,28.08,28.37
