startSec,endSec
0.56,1.42
3.66,4.16
5.32,5.96
9.54,10.24
13.9,14.78
17.24,17.88
18.98,19.8
20.82,21.88
23.1,23.8
24.86,25.5
27.16,27.74
28.58,29.2
31.86,32.74
33.82,34.82
35.82,36.76
39.2,40.34
41.5,42.34
45.34,46.46
47.84,48.7
50.8,51.52
52.46,53.02
56.02,57.1
59.34,60.14
60.84,61.38
63.18,63.44
65.1,66.44
68.04,68.58
71.18,72.5
73.8,74.12
75.58,75.96
78.1,79.02
80.22,81.26
81.8,82.24
82.9,84.16
86.64,87.82
89.76,90.52
92.66,93.6
97.42,98.3
99.5,100.58
101.34,102.1
105.06,106.04
106.68,106.98
108.18,108.92
111.38,112.44
114.24,115.04
118.74,119.68
122.08,123.2
125.62,125.9
126.52,127.82
130.38,131.54
133.76,134.24
136.36,136.72
138.76,139.06
140.0,140.34
142.36,143.26
146.14,146.62
148.44,149.8
150.92,151.46
154.18,155.0
155.64,156.1
161.62,162.48
164.16,164.68
165.86,166.24
167.08,168.32
171.32,172.18
173.74,174.26
179.44,180.38
181.18,182.28
182.88,183.18
183.88,184.16
187.1,188.42
188.98,189.56
190.2,190.92
191.36,192.74
196.8,197.22
199.46,200.86
202.1,202.52
204.18,205.08
206.4,207.3
209.3,210.04
211.32,212.16
215.92,216.54
217.7,218.24
220.3,221.08
222.98,223.7
227.82,228.58
231.42,232.2
233.48,233.9
235.08,235.6
236.26,236.56
237.12,238.4
241.86,242.92
244.72,245.82
246.84,247.68
249.82,251.8
252.5,252.98
253.5,253.96
256.36,257.12
259.54,260.22
261.28,261.62
263.5,263.84
266.64,266.94
268.38,269.0
270.8,271.42
272.08,273.0
273.56,274.62
275.58,275.96
278.38,278.9
283.28,284.0
287.02,287.86
289.38,289.96
292.9,293.64
294.56,295.22
295.74,296.24
298.38,299.08
300.56,300.96
301.8,302.54
304.26,305.14
305.82,307.04
309.36,309.72
312.68,313.8
316.02,317.22
317.76,318.4
319.18,319.78
321.48,322.54
324.68,325.82
328.32,328.84
330.52,331.08
333.92,334.56
335.76,336.62
338.12,338.76
339.58,340.86
341.66,342.04
342.86,344.34
344.76,345.1
345.72,345.98
346.5,346.86
349.32,350.04
352.14,352.4
352.9,353.96
357.34,358.44
359.98,360.48
361.9,362.48
363.48,364.58
366.48,367.18
368.1,368.8
370.14,371.36
371.94,372.76
373.44,373.96
374.84,375.2
378.28,379.52
380.4,380.8
383.48,384.0
388.86,389.92
391.52,391.92
393.6,394.64
396.06,396.58
397.7,398.7
401.5,402.06
404.0,405.34
406.5,406.8
407.52,408.1
412.28,412.74
413.76,414.36
415.54,416.72
420.36,421.84
422.9,423.56
424.82,425.52
427.04,428.3
428.74,429.42
430.36,431.5
432.3,432.98
434.62,435.68
436.9,437.54
439.28,439.68
444.44,445.84
447.7,448.34
450.36,451.7
454.12,454.54
455.44,456.28
459.18,460.56
463.18,463.56
465.5,466.68
470.5,471.26
474.28,474.7
476.02,477.46
479.1,479.5
481.4,481.72
483.82,484.84
485.6,485.96
486.72,487.24
490.4,491.42
494.52,495.02
497.42,498.52
503.08,504.0
505.8,506.56
507.68,508.26
509.76,511.14
513.16,513.76
516.5,517.02
517.66,519.08
521.42,523.5
524.14,524.64
525.84,526.34
527.46,528.72
531.28,531.68
533.14,533.6
534.04,534.48
535.28,536.04
538.44,539.38
542.56,543.08
547.02,548.2
549.46,550.36
550.76,551.2
551.72,552.44
552.88,553.34
553.9,554.46
555.26,555.86
558.48,559.6
561.22,561.68
563.76,564.18
566.72,567.38
568.5,569.8
570.78,571.36
571.86,572.62
574.32,574.6
576.74,577.8
579.94,580.38
