clip,kind,word,human_breath,detector_breath,human_a_end,human_b,fa_onset,raw_ref,breath_ref,fa_err,raw_err,bref_err,recorded_onset_error
clip3_01,control,Aún,False,False,44.553875,45.292874999999995,45.322,45.295063,45.280875,0.029125000000007617,0.0021880000000038535,-0.01199999999999335,0.026937000000003763
clip3_02,failure,El,True,False,27.175063,27.962063,27.982,27.815062,27.9590625,0.01993699999999876,-0.1470009999999995,-0.0030004999999988513,0.16693799999999825
clip3_03,failure,Navegar,True,True,64.675625,65.578625,65.622,65.335188,65.582625,0.0433749999999975,-0.24343700000000013,0.003999999999990678,0.2868119999999976
clip3_04,failure,La,False,False,83.58975,84.33175,84.371,84.204625,84.34175,0.039249999999995566,-0.1271250000000066,0.010000000000005116,0.16637500000000216
clip3_05,control,las,False,False,17.120063,17.417063,17.431,17.415,17.4140625,0.013937000000002087,-0.002062999999999704,-0.0030004999999988513,0.01600000000000179
clip3_06,failure,Scylla,True,False,0.722,1.425,0.341,1.426125,1.5246875,-1.084,0.0011250000000000426,0.09968749999999993,-1.0851250000000001
clip3_07,control,Cada,True,False,19.613125,20.170125,20.152,20.170125,20.189125,-0.018124999999997726,0.0,0.019000000000001904,-0.018124999999997726
clip3_08,failure,Eso,True,True,33.953188000000004,34.467188,34.49,34.3495,34.4611875,0.02281200000000183,-0.11768800000000113,-0.006000499999998965,0.14050000000000296
clip3_09,failure,Tiene,True,True,5.83525,6.30825,6.292,6.099125,6.31325,-0.01625000000000032,-0.20912500000000023,0.004999999999999893,0.1928749999999999
clip3_10,failure,Su,False,False,12.674562,13.124562,13.152,13.00475,13.2025625,0.027438000000000073,-0.11981199999999959,0.0780005000000017,0.14724999999999966
