(Index),idx,text,startSec,endSec,durationSec,gapToPrevSec,nearestSilenceEndSec,smearSec
0,0,Level,0.08,0.52,0.44,,,
1,1,1,0.52,1.36,0.84,0,1.42,-0.9
2,2,The,1.41,1.53,0.12,0.05,1.42,-0.01
3,3,child,1.53,1.82,0.29,0,1.42,0.11
4,4,who,1.82,1.99,0.17,0,1.42,0.4
5,5,does,1.99,2.22,0.23,0,1.42,0.57
6,6,not,2.22,2.39,0.17,0,1.42,0.8
7,7,yet,2.39,2.56,0.17,0,1.42,0.97
8,8,know,2.56,2.79,0.23,0,1.42,1.14
9,9,what,2.79,3.04,0.25,0,1.42,1.37
10,10,dark,3.04,3.3,0.26,0,1.42,1.62
11,11,means,3.3,4.11,0.81,0,4.16,-0.86
12,12,you,4.15,4.27,0.12,0.04,4.16,-0.01
13,13,are,4.27,4.43,0.16,0,4.16,0.11
14,14,seven,4.43,4.72,0.29,0,4.16,0.27
15,15,years,4.72,5.19,0.47,0,4.16,0.56
16,16,old,5.19,5.52,0.33,0,5.96,-0.77
17,17,You,5.76,5.97,0.21,0.24,5.96,-0.2
18,18,live,5.97,6.25,0.28,0,5.96,0.01
19,19,inside,6.25,6.64,0.39,0,5.96,0.29
20,20,a,6.64,6.74,0.1,0,5.96,0.68
21,21,skin,6.74,7.18,0.44,0,5.96,0.78
22,22,covered,7.18,7.51,0.33,0,5.96,1.22
23,23,shelter,7.51,8,0.49,0,5.96,1.55
24,24,at,8,8.14,0.14,0,5.96,2.04
25,25,the,8.14,8.34,0.2,0,5.96,2.18
26,26,edge,8.34,8.63,0.29,0,5.96,2.38
27,27,of,8.63,8.8,0.17,0,5.96,2.67
28,28,a,8.8,8.84,0.04,0,5.96,2.84
29,29,shallow,8.84,9.33,0.49,0,5.96,2.88
30,30,valley,9.33,9.91,0.58,0,10.24,-0.91
31,31,The,10,10.33,0.33,0.09,10.24,-0.24
32,32,fire,10.33,10.64,0.31,0,10.24,0.09
33,33,your,10.64,10.8,0.16,0,10.24,0.4
34,34,mother,10.8,11.12,0.32,0,10.24,0.56
35,35,tends,11.12,11.48,0.36,0,10.24,0.88
36,36,smells,11.48,11.64,0.16,0,10.24,1.24
37,37,like,11.64,12.49,0.85,0,10.24,1.4
38,38,pine,12.49,12.54,0.05,0,10.24,2.25
39,39,resin,12.54,12.85,0.31,0,10.24,2.3
40,40,and,12.85,13.07,0.22,0,10.24,2.61
41,41,scor,13.07,13.36,0.29,0,10.24,2.83
42,42,ched,13.36,13.66,0.3,0,10.24,3.12
43,43,bone,13.66,13.94,0.28,0,14.78,-1.12
44,44,Your,14.16,14.44,0.28,0.22,14.78,-0.62
45,45,grandmother,14.44,15.27,0.83,0,14.78,-0.34
46,46,is,15.27,15.38,0.11,0,14.78,0.49
47,47,asleep,15.38,15.8,0.42,0,14.78,0.6
48,48,against,15.8,16.39,0.59,0,14.78,1.02
49,49,the,16.39,16.81,0.42,0,14.78,1.61
50,50,far,16.81,17.01,0.2,0,14.78,2.03
51,51,wall,17.01,17.08,0.07,0,14.78,2.23
52,52,is,17.76,17.84,0.08,0.68,17.88,-0.12
53,53,in,17.84,18.02,0.18,0,17.88,-0.04
54,54,the,18.02,18.25,0.23,0,17.88,0.14
55,55,night,18.25,18.39,0.14,0,17.88,0.37
56,56,You,19.16,19.29,0.13,0.77,19.8,-0.64
57,57,are,19.29,19.55,0.26,0,19.8,-0.51
58,58,wide,19.55,19.93,0.38,0,19.8,-0.25
59,59,awake,19.93,20.36,0.43,0,19.8,0.13
60,60,You,20.64,20.93,0.29,0.28,21.88,-1.24
61,61,can,20.93,21.22,0.29,0,21.88,-0.95
62,62,hear,21.22,21.91,0.69,0,21.88,-0.66
63,63,something,21.91,22.5,0.59,0,21.88,0.03
64,64,outside,22.5,23.45,0.95,0,23.8,-1.3
65,65,You,23.72,23.75,0.03,0.27,23.8,-0.08
66,66,do,23.75,23.92,0.17,0,23.8,-0.05
67,67,not,23.92,24.08,0.16,0,23.8,0.12
68,68,know,24.08,24.24,0.16,0,23.8,0.28
69,69,what,24.32,24.6,0.28,0.08,23.8,0.52
70,70,it,24.6,24.77,0.17,0,23.8,0.8
71,71,is,24.77,24.96,0.19,0,25.5,-0.73
72,72,You,25.19,25.66,0.47,0.23,25.5,-0.31
73,73,only,25.66,25.87,0.21,0,25.5,0.16
74,74,know,25.87,26.22,0.35,0,25.5,0.37
75,75,the,26.22,26.49,0.27,0,25.5,0.72
76,76,sound,26.49,26.95,0.46,0,25.5,0.99
77,77,is,26.95,27.13,0.18,0,25.5,1.45
78,78,large,27.13,27.59,0.46,0,27.74,-0.61
79,79,it,27.77,27.99,0.22,0.18,27.74,0.03
80,80,is,27.99,28.39,0.4,0,27.74,0.25
81,81,close,28.39,28.59,0.2,0,29.2,-0.81
82,82,and,28.81,29.04,0.23,0.22,29.2,-0.39
83,83,the,29.04,29.31,0.27,0,29.2,-0.16
84,84,fire,29.31,29.85,0.54,0,29.2,0.11
85,85,is,29.85,30.2,0.35,0,29.2,0.65
86,86,the,30.2,30.24,0.04,0,29.2,1
87,87,only,30.24,30.49,0.25,0,29.2,1.04
88,88,reason,30.49,30.88,0.39,0,29.2,1.29
89,89,you,30.88,30.96,0.08,0,29.2,1.68
90,90,are,30.96,31.12,0.16,0,29.2,1.76
91,91,not,31.12,31.4,0.28,0,29.2,1.92
92,92,screaming,31.4,32.52,1.12,0,32.74,-1.34
93,93,The,32.54,32.8,0.26,0.02,32.74,-0.2
94,94,sound,32.8,33.29,0.49,0,32.74,0.06
95,95,stops,33.29,33.72,0.43,0,32.74,0.55
96,96,The,34,34.28,0.28,0.28,34.82,-0.82
97,97,night,34.28,34.69,0.41,0,34.82,-0.54
98,98,goes,34.69,35.27,0.58,0,34.82,-0.13
99,99,quiet,35.27,35.69,0.42,0,34.82,0.45
100,100,Your,35.85,36.22,0.37,0.16,36.76,-0.91
101,101,chest,36.22,36.67,0.45,0,36.76,-0.54
102,102,is,36.67,37.08,0.41,0,36.76,-0.09
103,103,tight,37.08,37.32,0.24,0,36.76,0.32
104,104,in,37.32,37.5,0.18,0,36.76,0.56
105,105,a,37.5,37.65,0.15,0,36.76,0.74
106,106,way,37.65,37.87,0.22,0,36.76,0.89
107,107,you,37.87,38.24,0.37,0,36.76,1.11
108,108,have,38.24,38.39,0.15,0,36.76,1.48
109,109,no,38.39,38.64,0.25,0,36.76,1.63
110,110,word,38.64,38.96,0.32,0,36.76,1.88
111,111,for,38.96,39.19,0.23,0,36.76,2.2
112,112,Your,39.27,40.05,0.78,0.08,40.34,-1.07
113,113,mother,40.05,40.22,0.17,0,40.34,-0.29
