(Index),idx,text,startSec,endSec,durationSec,gapToPrevSec,nearestSilenceEndSec,smearSec
0,0,S,0.12,0.24,0.12,,,
1,1,illa,0.24,0.64,0.4,0,,
2,2,S,0.84,0.92,0.08,0.2,1.42,-0.58
3,3,illa,0.92,1.21,0.29,0,1.42,-0.5
4,4,es,1.21,1.42,0.21,0,1.42,-0.21
5,5,un,1.42,1.5,0.08,0,1.42,0
6,6,mon,1.5,1.7,0.2,0,1.42,0.08
7,7,stru,1.7,1.99,0.29,0,1.42,0.28
8,8,o,1.99,2.06,0.07,0,1.42,0.57
9,9,que,2.06,2.27,0.21,0,1.42,0.64
10,10,vive,2.27,2.6,0.33,0,1.42,0.85
11,11,dentro,2.6,2.99,0.39,0,1.42,1.18
12,12,de,2.99,3.13,0.14,0,1.42,1.57
13,13,un,3.13,3.34,0.21,0,1.42,1.71
14,14,ac,3.34,3.48,0.14,0,1.42,1.92
15,15,ant,3.48,3.7,0.22,0,1.42,2.06
16,16,il,3.7,3.84,0.14,0,1.42,2.28
17,17,ado,3.84,4.12,0.28,0,1.42,2.42
18,18,junto,4.12,4.43,0.31,0,1.42,2.7
19,19,a,4.43,4.5,0.07,0,1.42,3.01
20,20,un,4.5,4.68,0.18,0,1.42,3.08
21,21,estre,4.68,4.94,0.26,0,1.42,3.26
22,22,cho,4.94,5.09,0.15,0,1.42,3.52
23,23,paso,5.09,5.25,0.16,0,1.42,3.67
24,24,mar,5.25,5.37,0.12,0,1.42,3.83
25,25,ít,5.37,5.49,0.12,0,1.42,3.95
26,26,imo,5.49,5.6,0.11,0,1.42,4.07
27,27,iene,6.32,6.35,0.03,0.72,6.3,0.02
28,28,6,6.35,6.42,0.07,0,6.3,0.05
29,29,c,6.42,6.56,0.14,0,6.3,0.12
30,30,uell,6.56,6.72,0.16,0,6.3,0.26
31,31,os,6.72,6.86,0.14,0,6.3,0.42
32,32,larg,6.86,7.16,0.3,0,6.3,0.56
33,33,os,7.16,7.32,0.16,0,6.3,0.86
34,34,6,7.55,7.74,0.19,0.23,6.3,1.25
35,35,cab,7.74,7.91,0.17,0,6.3,1.44
36,36,ez,7.91,8.06,0.15,0,6.3,1.61
37,37,as,8.06,8.24,0.18,0,6.3,1.76
38,38,3,8.37,8.58,0.21,0.13,6.3,2.07
39,39,h,8.58,8.65,0.07,0,6.3,2.28
40,40,iler,8.65,8.95,0.3,0,6.3,2.35
41,41,as,8.95,9.1,0.15,0,6.3,2.65
42,42,de,9.1,9.25,0.15,0,6.3,2.8
43,43,di,9.25,9.4,0.15,0,6.3,2.95
44,44,entes,9.4,9.78,0.38,0,6.3,3.1
45,45,en,9.78,9.93,0.15,0,6.3,3.48
46,46,cada,9.93,10.23,0.3,0,6.3,3.63
47,47,boca,10.23,10.53,0.3,0,6.3,3.93
48,48,y,10.53,10.63,0.1,0,6.3,4.23
49,49,12,10.63,11.13,0.5,0,10.92,-0.29
50,50,pat,11.13,11.27,0.14,0,10.92,0.21
51,51,as,11.27,11.42,0.15,0,10.92,0.35
52,52,deb,11.42,11.64,0.22,0,10.92,0.5
53,53,ajo,11.64,11.88,0.24,0,10.92,0.72
54,54,de,11.88,12.3,0.42,0,10.92,0.96
55,55,cuerpo,12.3,12.7,0.4,0,13.12,-0.82
56,56,Su,12.89,13.01,0.12,0.19,13.12,-0.23
57,57,ataque,13.01,13.41,0.4,0,13.12,-0.11
58,58,es,13.41,13.72,0.31,0,13.12,0.29
59,59,sencill,13.72,14.01,0.29,0,13.12,0.6
60,60,o,14.01,14.07,0.06,0,13.12,0.89
61,61,Cuando,14.26,14.66,0.4,0.19,14.92,-0.66
62,62,un,14.66,14.79,0.13,0,14.92,-0.26
63,63,bar,14.79,14.99,0.2,0,14.92,-0.13
64,64,co,14.99,15.12,0.13,0,14.92,0.07
65,65,pasa,15.12,15.38,0.26,0,14.92,0.2
66,66,lo,15.38,15.51,0.13,0,14.92,0.46
67,67,su,15.51,15.64,0.13,0,14.92,0.59
68,68,fic,15.64,15.83,0.19,0,14.92,0.72
69,69,ient,15.83,16.09,0.26,0,14.92,0.91
70,70,emente,16.09,16.48,0.39,0,14.92,1.17
71,71,cerca,16.48,16.81,0.33,0,14.92,1.56
72,72,las,17.11,17.31,0.2,0.3,17.42,-0.31
73,73,6,17.31,17.58,0.27,0,17.42,-0.11
74,74,cab,17.58,17.87,0.29,0,17.42,0.16
75,75,ez,17.87,18.03,0.16,0,17.42,0.45
76,76,as,18.03,18.27,0.24,0,17.42,0.61
77,77,se,18.27,18.46,0.19,0,17.42,0.85
78,78,mue,18.46,18.7,0.24,0,17.42,1.04
79,79,ven,18.7,18.88,0.18,0,17.42,1.28
80,80,al,18.88,19.01,0.13,0,17.42,1.46
81,81,mismo,19.01,19.37,0.36,0,17.42,1.59
82,82,tiempo,19.37,19.88,0.51,0,20.16,-0.79
83,83,Cada,20.02,20.38,0.36,0.14,20.16,-0.14
84,84,cabeza,20.38,20.73,0.35,0,20.16,0.22
85,85,at,20.73,20.89,0.16,0,20.16,0.57
86,86,rap,20.89,21.08,0.19,0,20.16,0.73
87,87,a,21.08,21.15,0.07,0,20.16,0.92
88,88,a,21.15,21.22,0.07,0,20.16,0.99
89,89,un,21.22,21.36,0.14,0,20.16,1.06
90,90,marin,21.36,21.72,0.36,0,20.16,1.2
91,91,ero,21.72,21.93,0.21,0,20.16,1.56
92,92,de,21.93,22.07,0.14,0,20.16,1.77
93,93,la,22.07,22.21,0.14,0,20.16,1.91
94,94,cub,22.21,22.58,0.37,0,20.16,2.05
95,95,ier,22.58,22.63,0.05,0,20.16,2.42
96,96,ta,22.63,22.77,0.14,0,23.28,-0.65
97,97,6,22.98,23.27,0.29,0.21,23.28,-0.3
98,98,cab,23.27,23.4,0.13,0,23.28,-0.01
99,99,ez,23.4,23.55,0.15,0,23.28,0.12
100,100,as,23.55,23.67,0.12,0,23.28,0.27
101,101,signific,23.67,24.2,0.53,0,23.28,0.39
102,102,an,24.2,24.77,0.57,0,23.28,0.92
103,103,6,24.77,24.84,0.07,0,23.28,1.49
104,104,mar,25.03,25.08,0.05,0.19,23.28,1.75
105,105,iner,25.08,25.35,0.27,0,23.28,1.8
106,106,os,25.35,25.48,0.13,0,23.28,2.07
107,107,que,25.48,26.26,0.78,0,23.28,2.2
108,108,desapare,26.26,26.34,0.08,0,23.28,2.98
109,109,cen,26.34,26.5,0.16,0,23.28,3.06
110,110,en,26.5,26.64,0.14,0,23.28,3.22
111,111,un,26.64,26.78,0.14,0,23.28,3.36
112,112,solo,26.78,27.07,0.29,0,23.28,3.5
113,113,ataque,27.07,27.51,0.44,0,27.96,-0.89
114,114,El,27.72,27.86,0.14,0.21,27.96,-0.24
115,115,det,27.86,28.08,0.22,0,27.96,-0.1
116,116,alle,28.08,28.37,0.29,0,27.96,0.12
117,117,importante,28.37,29.1,0.73,0,27.96,0.41
118,118,es,29.1,29.24,0.14,0,27.96,1.14
119,119,que,29.24,29.46,0.22,0,27.96,1.28
120,120,S,29.46,29.53,0.07,0,27.96,1.5
121,121,illa,29.53,29.82,0.29,0,27.96,1.57
122,122,no,29.82,29.96,0.14,0,27.96,1.86
123,123,pers,29.96,30.25,0.29,0,27.96,2
124,124,igue,30.25,30.63,0.38,0,27.96,2.29
125,125,a,30.63,30.77,0.14,0,27.96,2.67
126,126,los,30.77,30.88,0.11,0,27.96,2.81
127,127,bar,30.88,31.12,0.24,0,27.96,2.92
128,128,cos,31.12,31.26,0.14,0,27.96,3.16
129,129,en,31.26,31.38,0.12,0,27.96,3.3
130,130,mar,31.38,31.55,0.17,0,27.96,3.42
131,131,ab,31.55,31.68,0.13,0,27.96,3.59
132,132,ierto,31.68,32,0.32,0,27.96,3.72
133,133,Se,32.3,32.38,0.08,0.3,32.34,-0.04
134,134,mant,32.38,32.56,0.18,0,32.34,0.04
135,135,iene,32.56,32.81,0.25,0,32.34,0.22
136,136,cerca,32.81,33.12,0.31,0,32.34,0.47
137,137,del,33.12,33.3,0.18,0,32.34,0.78
138,138,ac,33.3,33.48,0.18,0,32.34,0.96
139,139,ant,33.48,33.62,0.14,0,32.34,1.14
140,140,il,33.62,33.74,0.12,0,32.34,1.28
141,141,ado,33.74,33.94,0.2,0,32.34,1.4
142,142,Eso,34.12,34.33,0.21,0.18,34.46,-0.34
143,143,significa,34.33,35,0.67,0,34.46,-0.13
144,144,que,35,35.07,0.07,0,34.46,0.54
145,145,la,35.07,35.19,0.12,0,34.46,0.61
146,146,estr,35.19,35.44,0.25,0,34.46,0.73
147,147,ateg,35.44,35.69,0.25,0,34.46,0.98
148,148,ia,35.69,35.97,0.28,0,34.46,1.23
149,149,más,35.97,36.1,0.13,0,34.46,1.51
150,150,seg,36.1,36.34,0.24,0,34.46,1.64
151,151,ura,36.34,36.46,0.12,0,34.46,1.88
152,152,no,36.46,36.58,0.12,0,34.46,2
153,153,es,36.58,36.7,0.12,0,34.46,2.12
154,154,l,36.7,36.76,0.06,0,34.46,2.24
155,155,uchar,36.76,37.06,0.3,0,34.46,2.3
156,156,contra,37.06,37.52,0.46,0,34.46,2.6
157,157,ella,37.52,37.69,0.17,0,34.46,3.06
158,158,sino,37.81,38.06,0.25,0.12,34.46,3.35
159,159,seguir,38.06,38.43,0.37,0,34.46,3.6
160,160,mov,38.43,38.61,0.18,0,34.46,3.97
161,161,i,38.61,38.7,0.09,0,34.46,4.15
162,162,énd,38.7,38.91,0.21,0,34.46,4.24
163,163,ose,38.91,39.09,0.18,0,34.46,4.45
164,164,antes,39.09,39.4,0.31,0,34.46,4.63
165,165,de,39.4,39.55,0.15,0,34.46,4.94
166,166,que,39.55,39.7,0.15,0,34.46,5.09
167,167,pueda,39.7,40.01,0.31,0,34.46,5.24
168,168,atac,40.01,40.26,0.25,0,34.46,5.55
169,169,ar,40.26,40.41,0.15,0,34.46,5.8
170,170,de,40.41,40.5,0.09,0,34.46,5.95
171,171,nuevo,40.5,40.81,0.31,0,34.46,6.04
172,172,es,41.74,41.98,0.24,0.93,41.74,0
173,173,advert,41.98,42.14,0.16,0,41.74,0.24
174,174,ido,42.14,42.36,0.22,0,41.74,0.4
175,175,sobre,42.36,42.73,0.37,0,41.74,0.62
176,176,esto,42.73,43.17,0.44,0,41.74,0.99
177,177,antes,43.17,43.42,0.25,0,41.74,1.43
178,178,de,43.42,43.66,0.24,0,41.74,1.68
179,179,llegar,43.66,44.02,0.36,0,41.74,1.92
180,180,al,44.02,44.16,0.14,0,41.74,2.28
181,181,p,44.16,44.24,0.08,0,41.74,2.42
182,182,so,44.24,44.39,0.15,0,41.74,2.5
183,183,e,44.39,44.46,0.07,0,41.74,2.65
184,184,A,44.68,44.75,0.07,0.22,45.28,-0.6
185,185,ún,44.75,44.97,0.22,0,45.28,-0.53
186,186,así,44.97,45.27,0.3,0,45.28,-0.31
187,187,prepar,45.42,45.87,0.45,0.15,45.28,0.14
188,188,a,45.87,45.94,0.07,0,45.28,0.59
189,189,sus,45.94,46.16,0.22,0,45.28,0.66
190,190,armas,46.16,46.55,0.39,0,45.28,0.88
191,191,pero,46.83,47.15,0.32,0.28,47.22,-0.39
192,192,result,47.15,47.68,0.53,0,47.22,-0.07
193,193,an,47.68,47.86,0.18,0,47.22,0.46
194,194,in,47.86,48.1,0.24,0,47.22,0.64
195,195,út,48.1,48.21,0.11,0,47.22,0.88
196,196,iles,48.21,48.48,0.27,0,47.22,0.99
197,197,S,48.7,48.77,0.07,0.22,48.86,-0.16
198,198,illa,48.77,49.05,0.28,0,48.86,-0.09
199,199,se,49.05,49.29,0.24,0,48.86,0.19
200,200,lleva,49.29,49.54,0.25,0,48.86,0.43
201,201,a,49.54,49.61,0.07,0,48.86,0.68
202,202,6,49.61,49.82,0.21,0,48.86,0.75
203,203,de,49.82,49.96,0.14,0,48.86,0.96
204,204,sus,49.96,50.17,0.21,0,48.86,1.1
205,205,hombres,50.17,50.67,0.5,0,48.86,1.31
206,206,mientras,50.67,51.24,0.57,0,48.86,1.81
207,207,el,51.24,51.38,0.14,0,48.86,2.38
208,208,bar,51.38,51.59,0.21,0,48.86,2.52
209,209,co,51.59,51.73,0.14,0,48.86,2.73
210,210,contin,51.73,52.17,0.44,0,48.86,2.87
211,211,úa,52.17,52.37,0.2,0,48.86,3.31
212,212,su,52.37,52.51,0.14,0,48.86,3.51
213,213,march,52.51,52.86,0.35,0,53.36,-0.85
214,214,a,52.86,52.95,0.09,0,53.36,-0.5
215,215,Det,53.14,53.35,0.21,0.19,53.36,-0.22
216,216,ener,53.35,53.62,0.27,0,53.36,-0.01
217,217,se,53.62,54.09,0.47,0,53.36,0.26
218,218,solo,54.09,54.17,0.08,0,53.36,0.73
219,219,le,54.17,54.28,0.11,0,53.36,0.81
220,220,dar,54.47,54.52,0.05,0.19,53.36,1.11
221,221,ía,54.52,54.68,0.16,0,53.36,1.16
222,222,otra,54.68,54.94,0.26,0,53.36,1.32
223,223,oportunidad,54.94,55.78,0.84,0,56.12,-1.18
224,224,S,55.91,55.98,0.07,0.13,56.12,-0.21
225,225,illa,55.98,56.25,0.27,0,56.12,-0.14
226,226,también,56.25,56.8,0.55,0,56.12,0.13
227,227,comp,56.8,57.07,0.27,0,56.12,0.68
228,228,arte,57.07,57.34,0.27,0,56.12,0.95
229,229,el,57.34,57.48,0.14,0,56.12,1.22
230,230,paso,57.48,57.75,0.27,0,56.12,1.36
231,231,con,57.75,57.95,0.2,0,56.12,1.63
232,232,Carib,57.95,58.4,0.45,0,56.12,1.83
233,233,dis,58.4,58.49,0.09,0,56.12,2.28
234,234,un,58.62,58.76,0.14,0.13,58.9,-0.28
235,235,rem,58.76,58.96,0.2,0,58.9,-0.14
236,236,ol,58.96,59.09,0.13,0,58.9,0.06
237,237,ino,59.09,59.29,0.2,0,58.9,0.19
238,238,gig,59.29,59.49,0.2,0,58.9,0.39
239,239,ante,59.49,59.93,0.44,0,58.9,0.59
240,240,en,59.93,60.28,0.35,0,58.9,1.03
241,241,lado,60.28,60.46,0.18,0,58.9,1.38
242,242,op,60.46,60.7,0.24,0,58.9,1.56
243,243,uesto,60.7,60.91,0.21,0,58.9,1.8
244,244,por,61.03,61.25,0.22,0.12,61.36,-0.33
245,245,lo,61.25,61.35,0.1,0,61.36,-0.11
246,246,que,61.35,61.54,0.19,0,61.36,-0.01
247,247,la,61.54,61.88,0.34,0,61.36,0.18
248,248,trip,61.88,61.94,0.06,0,61.36,0.52
249,249,ul,61.94,62.05,0.11,0,61.36,0.58
250,250,ación,62.05,62.43,0.38,0,61.36,0.69
251,251,no,62.43,62.56,0.13,0,61.36,1.07
252,252,puede,62.56,62.89,0.33,0,61.36,1.2
253,253,simplemente,62.89,63.59,0.7,0,61.36,1.53
254,254,ale,63.59,63.78,0.19,0,61.36,2.23
255,255,jar,63.78,63.97,0.19,0,61.36,2.42
256,256,se,63.97,64.09,0.12,0,61.36,2.61
257,257,más,64.09,64.35,0.26,0,61.36,2.73
258,258,N,64.62,64.77,0.15,0.27,65.58,-0.96
259,259,ave,64.77,65.16,0.39,0,65.58,-0.81
260,260,gar,65.16,65.57,0.41,0,65.58,-0.42
261,261,cerca,65.57,66.2,0.63,0,65.58,-0.01
262,262,de,66.2,66.56,0.36,0,65.58,0.62
263,263,S,66.56,66.8,0.24,0,65.58,0.98
264,264,illa,66.8,66.92,0.12,0,65.58,1.22
265,265,cu,66.92,67.06,0.14,0,65.58,1.34
266,266,esta,67.06,67.34,0.28,0,65.58,1.48
267,267,6,67.34,67.57,0.23,0,65.58,1.76
268,268,mar,67.57,67.98,0.41,0,65.58,1.99
269,269,iner,67.98,68.09,0.11,0,65.58,2.4
270,270,os,68.09,68.22,0.13,0,68.5,-0.41
271,271,N,68.48,68.5,0.02,0.26,68.5,-0.02
272,272,ave,68.5,68.71,0.21,0,68.5,0
273,273,gar,68.71,68.99,0.28,0,68.5,0.21
274,274,cerca,68.99,69.28,0.29,0,68.5,0.49
275,275,de,69.28,69.42,0.14,0,68.5,0.78
276,276,Carib,69.42,69.78,0.36,0,68.5,0.92
277,277,dis,69.78,70.01,0.23,0,68.5,1.28
278,278,puede,70.01,70.35,0.34,0,68.5,1.51
279,279,destru,70.35,70.78,0.43,0,68.5,1.85
280,280,ir,70.78,70.92,0.14,0,68.5,2.28
281,281,el,70.92,71.06,0.14,0,68.5,2.42
282,282,bar,71.06,71.28,0.22,0,68.5,2.56
283,283,co,71.28,71.42,0.14,0,68.5,2.78
284,284,ent,71.42,71.65,0.23,0,68.5,2.92
285,285,ero,71.65,71.85,0.2,0,72.2,-0.55
286,286,A,72.06,72.27,0.21,0.21,72.2,-0.14
287,287,Od,72.27,72.56,0.29,0,72.2,0.07
288,288,ise,72.56,72.61,0.05,0,72.2,0.36
289,289,o,72.61,72.79,0.18,0,72.2,0.41
290,290,se,72.79,72.87,0.08,0,72.2,0.59
291,291,le,72.87,72.96,0.09,0,72.2,0.67
292,292,dice,72.96,73.22,0.26,0,72.2,0.76
293,293,que,73.22,73.4,0.18,0,72.2,1.02
294,294,el,73.4,73.53,0.13,0,72.2,1.2
295,295,ija,73.53,73.76,0.23,0,72.2,1.33
296,296,S,73.76,73.84,0.08,0,72.2,1.56
297,297,illa,73.84,74.38,0.54,0,72.2,1.64
298,298,porque,74.38,74.49,0.11,0,72.2,2.18
299,299,perder,74.49,74.88,0.39,0,72.2,2.29
300,300,a,74.88,74.91,0.03,0,72.2,2.68
