idx,text,startSec,endSec
0,Some,0.16,0.28
1,places,0.28,0.71
2,in,0.71,0.85
3,the,0.85,1.08
4,41,1.08,1.49
5,st,1.49,1.7
6,millenn,1.7,2.13
7,ium,2.13,2.38
8,don,2.38,2.63
9,'t,2.63,2.66
10,just,2.66,2.89
11,kill,2.89,3.23
12,soldiers,3.23,3.58
13,They,4.36,4.44
14,take,4.44,4.52
15,apart,4.52,4.9
16,the,4.9,5.1
17,conditions,5.1,6.06
18,under,6.06,6.29
19,which,6.29,6.58
20,a,6.58,6.64
21,soldier,6.64,7.1
22,can,7.1,7.29
23,function,7.29,7.82
24,in,7.82,7.93
25,the,7.93,8.1
26,first,8.1,8.66
27,place,8.66,8.73
28,Training,9.36,9.52
29,equipment,9.59,10.25
30,formation,10.44,11.06
31,doctrine,11.19,11.78
32,gone,11.99,12.24
33,before,12.24,12.59
34,the,12.59,12.78
35,first,12.78,13.1
36,contact,13.1,13.73
37,report,13.73,13.96
38,These,14.64,14.72
39,aren,14.72,14.8
40,'t,14.8,14.84
41,the,14.84,15.03
42,worst,15.03,15.33
43,battlefield,15.33,16.04
44,s,16.04,16.1
45,because,16.1,16.57
46,of,16.57,16.66
47,the,16.66,16.85
48,numbers,16.85,17.29
49,'re,18.1,18.21
50,the,18.21,18.26
51,worst,18.26,18.64
52,because,18.64,19.02
53,the,19.02,19.22
54,environment,19.22,20.03
55,was,20.03,20.17
56,already,20.17,20.73
57,doing,20.73,20.98
58,the,20.98,21.33
59,killing,21.33,21.72
60,before,21.72,22.04
61,the,22.04,22.47
62,enemy,22.47,22.49
63,showed,22.49,22.78
64,up,22.78,22.93
65,6,23.42,23.59
66,Cat,24.04,24.32
67,ac,24.32,24.49
68,an,24.49,24.7
69,Before,24.7,25.24
70,Cat,25.24,25.37
71,ac,25.37,25.52
72,an,25.52,25.67
73,produced,25.67,26.27
74,the,26.27,26.49
75,Imper,26.49,26.86
76,ium,26.86,27.08
77,'s,27.08,27.33
78,most,27.33,27.58
79,capable,27.58,28.05
80,baseline,28.05,28.64
81,human,28.64,29.09
82,soldiers,29.09,29.66
83,the,30.16,30.2
84,planet,30.2,30.6
85,had,30.6,30.8
86,a,30.8,30.86
87,simpler,30.86,31.37
88,reputation,31.37,32.0
89,It,32.88,32.94
90,killed,32.94,33.04
91,everything,33.04,33.82
92,on,33.82,33.99
93,it,33.99,34.25
94,The,34.8,34.96
95,jungle,34.96,35.06
96,didn,35.06,35.34
97,'t,35.34,35.46
98,evolve,35.46,35.88
99,around,35.88,36.26
100,human,36.26,36.59
101,warfare,36.59,37.06
102,spent,37.94,38.1
103,millions,38.1,38.61
104,of,38.61,38.78
105,years,38.78,39.31
106,optimizing,39.31,40.09
107,toward,40.09,40.61
108,a,40.61,40.69
109,single,40.69,41.21
110,outcome,41.21,41.88
111,and,42.2,42.36
112,anything,42.36,42.58
113,with,42.58,42.83
114,a,42.83,42.89
115,nervous,42.89,43.33
116,system,43.33,43.71
117,is,43.71,43.9
118,on,43.9,43.95
119,the,43.95,44.14
120,wrong,44.14,44.46
121,side,44.46,44.83
122,that,44.83,45.08
123,outcome,45.08,45.52
124,Hum,46.26,46.41
125,idity,46.41,46.44
126,wre,46.44,46.68
127,cks,46.68,46.92
128,un,46.92,47.08
129,prot,47.08,47.4
130,ected,47.4,47.8
131,electronics,47.8,48.68
132,inside,48.68,49.17
133,a,49.17,49.25
134,few,49.25,49.49
135,hours,49.49,49.89
136,Lost,50.66,50.82
137,charge,50.82,50.9
138,packs,50.9,51.26
139,corro,51.26,51.61
140,de,51.61,51.76
141,Opt,52.0,52.2
142,ical,52.2,52.54
143,sc,52.54,52.6
144,opes,52.6,52.87
145,fog,52.87,53.08
146,permanently,53.08,53.81
147,The,54.56,54.72
148,canopy,54.72,54.8
149,generates,54.8,55.56
150,a,55.56,55.64
151,biological,55.64,56.49
152,electrical,56.49,57.34
153,field,57.34,57.79
154,that,57.79,58.1
155,j,58.1,58.18
156,ams,58.18,58.43
157,vo,58.43,58.68
158,x,58.68,58.93
159,cas,58.93,58.95
160,ters,58.95,59.34
161,something,59.93,60.3
162,the,60.3,60.47
163,Mechan,60.47,60.83
164,icus,60.83,61.13
165,has,61.13,61.26
166,catalog,61.26,61.69
167,ed,61.69,61.8
168,and,61.8,61.98
169,never,61.98,62.39
170,adequately,62.39,62.99
171,explained,62.99,63.42
172,That,64.04,64.12
173,'s,64.12,64.21
174,before,64.21,64.6
175,anything,64.6,65.24
176,in,65.24,65.41
177,the,65.41,65.74
178,jungle,65.74,66.12
179,decides,66.12,66.68
180,to,66.68,66.84
181,engage,66.84,67.32
182,ac,68.12,68.28
183,an,68.28,68.32
184,devil,68.32,68.84
185,ants,68.98,69.27
186,dissolve,69.27,69.85
187,flesh,69.85,70.21
188,faster,70.21,70.75
189,than,70.75,70.94
190,combat,70.94,71.38
191,grade,71.45,71.8
192,acid,71.8,72.1
193,Cat,72.86,73.0
194,ac,73.0,73.03
195,an,73.03,73.16
196,devil,73.16,73.56
197,itself,73.56,74.03
198,six,74.23,74.57
199,limbs,74.57,75.16
200,ch,75.49,75.54
201,it,75.54,75.68
202,in,75.68,75.82
203,thick,75.82,76.18
204,enough,76.18,76.61
205,to,76.61,76.75
206,deflect,76.75,77.25
207,small,77.25,77.61
208,arms,77.61,77.89
209,fire,77.89,78.17
210,ts,78.7,78.78
211,by,78.78,78.86
212,thermal,78.86,79.24
213,signature,79.24,79.77
214,ang,80.56,80.65
215,ler,80.65,80.73
216,plants,80.73,81.12
217,drop,81.12,81.43
218,tend,81.43,81.74
219,rils,81.74,82.05
220,that,82.05,82.36
221,sever,82.36,82.75
222,limbs,82.75,83.19
223,before,83.19,83.61
224,the,83.61,83.84
225,soldier,83.84,84.39
226,registers,84.39,85.16
227,contact,85.16,85.65
228,My,86.62,86.64
229,ra,86.64,86.76
230,land,86.76,87.04
231,sharks,87.04,87.44
232,track,87.44,87.85
233,ground,87.85,88.23
234,vibration,88.23,88.86
235,Every,89.7,89.86
236,shadow,89.86,89.98
237,has,89.98,90.24
238,been,90.24,90.55
239,occup,90.55,91.07
240,ying,91.07,91.28
241,it,91.28,91.44
242,longer,91.44,91.93
243,than,91.93,92.33
244,any,92.33,92.5
245,patrol,92.5,92.99
246,has,92.99,93.23
247,been,93.23,93.56
248,searching,93.56,94.3
249,it,94.3,94.53
250,Forces,94.84,95.38
251,without,95.38,95.85
252,Cat,95.85,96.21
253,ac,96.21,96.27
254,an,96.27,96.51
255,born,96.54,96.84
256,soldiers,96.84,97.51
257,operate,97.51,98.09
258,at,98.09,98.25
259,a,98.25,98.32
260,deficit,98.32,99.21
261,that,99.21,99.24
262,no,99.24,99.44
263,amount,99.44,99.86
264,of,99.86,99.89
265,preparation,99.89,100.62
266,closes,100.62,101.05
267,The,101.84,101.88
268,jungle,101.88,102.0
269,doesn,102.0,102.24
270,'t,102.24,102.38
271,tele,102.38,102.67
272,graph,102.67,103.03
273,its,103.03,103.24
274,threats,103.24,103.77
275,It,104.48,104.64
276,withhold,104.64,104.71
277,s,104.71,104.78
278,them,104.78,105.07
279,until,105.07,105.42
280,they,105.42,105.85
281,'re,105.85,105.93
282,already,105.93,106.43
283,past,106.43,106.72
284,the,106.72,106.93
285,point,106.93,107.36
286,of,107.36,107.43
287,response,107.43,108.0
288,Cat,108.93,108.94
