idx,text,startSec,endSec
0,Level,0.08,0.29
1,one,0.29,0.46
2,The,0.55,0.66
3,child,0.66,1.4
4,who,1.4,1.44
5,does,1.44,1.73
6,not,1.73,1.95
7,yet,1.95,2.17
8,know,2.17,2.46
9,what,2.46,2.75
10,dark,2.75,3.04
11,means,3.04,3.4
12,you,3.57,3.73
13,are,3.73,4.15
14,seven,4.15,4.43
15,years,4.43,4.82
16,old,4.82,5.05
17,You,5.29,5.96
18,live,5.96,6.32
19,inside,6.32,6.72
20,a,6.72,6.78
21,skin,6.78,7.04
22,cover,7.04,7.43
23,ed,7.43,7.74
24,shelter,7.74,8.03
25,at,8.03,8.16
26,the,8.16,8.36
27,edge,8.36,8.62
28,of,8.62,8.75
29,a,8.75,8.81
30,shallow,8.81,9.36
31,valley,9.36,9.68
32,The,9.88,10.05
33,fire,10.05,10.47
34,your,10.47,10.6
35,mother,10.6,11.1
36,tends,11.1,11.49
37,smells,11.49,11.94
38,like,11.94,12.22
39,pine,12.22,12.48
40,resin,12.48,12.58
41,and,12.58,13.34
42,scor,13.34,13.36
43,ched,13.36,13.62
44,bone,13.62,13.9
45,Your,14.11,14.39
46,grandmother,14.39,15.24
47,is,15.24,15.31
48,asleep,15.31,16.09
49,against,16.09,16.22
50,the,16.22,16.51
51,far,16.51,16.64
52,wall,16.64,16.91
53,It,17.18,17.9
54,is,17.9,18.2
55,deep,18.2,18.47
56,in,18.47,18.62
57,the,18.62,18.72
58,night,18.72,19.14
59,You,19.38,19.44
60,are,19.44,20.12
61,wide,20.12,20.25
62,awake,20.25,20.67
63,You,20.89,21.14
64,can,21.14,21.39
65,hear,21.39,21.76
66,something,21.76,22.87
67,outside,22.87,23.07
68,You,23.32,23.57
69,do,23.57,23.72
70,not,23.72,23.96
71,know,23.96,24.64
72,what,24.64,24.68
73,it,24.68,24.8
74,is,24.8,24.96
75,You,25.25,25.46
76,only,25.46,25.92
77,know,25.92,26.12
78,the,26.2,26.33
79,sound,26.33,26.71
80,is,26.71,26.86
81,large,26.86,27.25
82,it,27.52,27.55
83,is,27.55,27.7
84,close,27.7,28.08
85,and,28.23,28.45
86,the,28.45,28.67
87,fire,28.67,28.97
88,is,28.97,29.16
89,the,29.16,29.42
90,only,29.42,29.64
91,reason,29.64,30.27
92,you,30.27,30.31
93,are,30.31,30.53
94,not,30.53,30.75
95,screaming,30.75,31.42
96,The,32.08,32.3
97,sound,32.3,33.18
98,stops,33.18,33.64
99,The,33.9,34.58
100,night,34.58,34.71
101,goes,34.71,35.02
102,quiet,35.02,35.48
103,Your,35.75,36.22
104,chest,36.22,36.58
105,is,36.58,36.75
106,tight,36.75,37.33
107,in,37.33,37.4
108,a,37.4,37.49
109,way,37.49,37.77
110,you,37.77,38.05
111,have,38.05,38.42
112,no,38.42,38.6
113,word,38.6,39.14
114,for,39.14,39.25
115,Your,39.52,39.89
116,mother,39.89,40.45
117,does,40.45,40.93
118,not,40.93,41.14
119,look,41.14,41.45
120,up,41.45,41.6
121,She,41.83,42.21
122,feeds,42.21,42.55
123,the,42.55,42.69
124,fire,42.69,42.99
125,another,42.99,43.54
126,stick,43.54,43.93
127,without,43.93,44.48
128,turning,44.48,45.26
129,her,45.26,45.29
130,head,45.29,45.57
131,That,45.8,46.1
132,still,46.1,46.44
133,ness,46.44,47.1
134,tells,47.1,47.2
135,you,47.2,47.54
136,something,47.54,47.78
137,has,48.66,48.69
138,been,48.69,48.74
139,listening,48.74,49.18
140,the,49.18,50.06
141,whole,50.06,50.12
142,time,50.12,50.45
143,You,50.7,50.95
144,watch,50.95,51.37
145,her,51.37,51.7
146,face,51.7,51.96
147,and,52.11,52.4
148,you,52.4,52.81
149,learn,52.81,53.03
150,your,53.03,53.36
151,first,53.36,53.78
152,lesson,53.78,54.62
153,without,54.62,54.84
154,a,54.89,54.92
155,word,54.92,55.11
156,being,55.11,55.33
157,spoken,55.33,55.47
158,The,56.19,56.26
159,darkness,56.26,56.96
160,past,56.96,57.38
161,the,57.38,57.63
162,fire,57.63,58.01
163,light,58.01,58.41
164,is,58.41,58.97
165,not,58.97,59.0
166,empty,59.0,59.45
167,It,59.74,59.93
168,has,59.93,60.8
169,The,61.09,61.37
170,fire,61.37,61.84
171,is,61.84,62.02
172,the,62.02,62.23
173,line,62.23,62.4
174,between,62.4,62.9
175,you,62.9,63.12
176,and,63.12,63.8
177,whatever,63.8,63.95
178,lives,63.95,64.35
179,on,64.35,64.44
180,the,64.44,64.66
181,other,64.66,65.02
182,side,65.02,65.31
183,of,65.31,65.45
184,it,65.45,65.7
185,You,65.81,66.01
186,fall,66.01,66.55
187,asleep,66.55,66.76
188,against,66.76,67.27
189,her,67.27,67.49
190,side,67.49,67.71
191,one,68.36,68.55
192,hand,68.55,69.4
193,the,69.4,69.61
194,warm,69.61,69.89
195,stones,69.89,70.8
196,ringing,70.8,70.86
197,the,70.86,71.08
198,hear,71.08,71.37
199,th,71.37,71.51
200,You,71.73,71.95
201,dream,71.95,72.31
202,about,72.31,72.7
203,the,72.7,72.89
204,sound,72.89,73.26
205,Morning,73.55,73.98
206,comes,73.98,74.34
207,bright,74.34,74.7
208,and,74.7,75.29
209,cold,75.29,75.36
210,and,75.52,75.93
211,you,75.93,76.4
212,run,76.4,76.42
213,out,76.5,76.62
214,into,76.62,76.89
215,the,76.89,76.97
216,frost,76.97,77.43
217,like,77.43,77.84
218,nothing,77.84,78.18
219,happened,78.18,78.73
220,You,78.97,80.57
221,start,80.57,83.05
222,watching,83.05,87.12
223,the,87.12,88.67
224,older,88.67,88.91
225,hunters,88.91,89.26
226,differently,89.26,89.62
227,You,89.71,90.57
228,notice,90.57,90.88
229,where,90.88,91.19
230,their,91.19,91.39
231,eyes,91.39,91.54
232,go,91.54,91.87
233,when,91.87,92.28
234,the,92.28,92.31
235,sun,92.31,92.51
236,drops,92.51,92.83
237,You,93.0,93.19
238,notice,93.19,93.57
239,how,93.57,93.76
240,they,93.76,94.01
241,arrange,94.01,94.45
242,themselves,94.45,95.08
243,around,95.08,95.46
244,the,95.46,95.65
245,fire,95.65,95.98
246,before,95.98,96.84
247,full,96.84,96.98
248,dark,96.98,97.35
249,Nobody,97.49,98.39
250,told,98.39,98.56
251,them,98.56,98.93
252,to,98.93,99.15
253,do,99.15,99.29
254,it,99.29,99.47
255,They,99.75,100.12
256,just,100.12,100.49
257,do,100.49,100.74
258,The,101.13,101.27
259,band,101.27,101.6
260,has,101.6,101.85
261,a,101.85,101.93
262,shape,101.93,102.28
263,at,102.28,102.91
264,night,102.91,102.94
265,it,102.94,103.07
266,does,103.07,103.4
267,not,103.4,103.65
268,have,103.65,103.98
269,during,103.98,104.48
270,the,104.48,104.78
271,day,104.78,104.9
272,Certain,106.06,106.53
273,men,106.53,106.61
274,always,106.61,107.4
275,face,107.4,107.61
276,outward,107.61,108.1
277,Certain,108.34,108.84
278,men,108.84,109.06
279,sleep,109.06,109.43
280,closest,109.43,110.1
281,to,110.1,110.13
282,the,110.13,110.32
283,fire,110.32,110.61
284,'s,110.61,110.75
285,edge,110.75,111.04
286,The,111.94,112.54
287,arrangement,112.54,112.98
288,is,112.98,113.24
289,not,113.24,113.54
290,accidental,113.54,114.24
291,It,114.42,114.59
292,is,114.59,114.87
293,as,114.87,114.96
294,deliberate,114.96,115.57
295,as,115.57,115.71
296,any,115.71,115.91
297,trap,115.91,116.2
298,your,116.2,116.58
299,father,116.58,116.9
300,sets,116.9,117.16
301,in,117.16,117.27
302,the,117.27,117.69
303,river,117.69,117.88
304,shall,117.88,118.23
305,ows,118.23,118.44
306,You,118.73,119.78
